patent_number,topic,topic_label,app_year,country_code
CN224427278U,0,T0,2025,CN
CN224427616U,9,T9,2025,CN
CN224427624U,0,T0,2025,CN
CN224433157U,12,T12,2025,CN
KR1020260100240A,22,T22,2026,KR
CN120363183B,6,T6,2025,CN
CN120717223B,28,T28,2025,CN
CN121180324B,0,T0,2025,CN
CN121300450B,27,T27,2025,CN
CN121300473B,3,T3,2025,CN
CN121392348B,27,T27,2025,CN
CN121704883B,32,T32,2026,CN
CN121918613B,6,T6,2026,CN
CN121946543B,1,T1,2026,CN
CN122274330A,36,T36,2025,CN
CN122274582A,-1,Noise,2025,CN
CN122274926A,19,T19,2026,CN
CN122274939A,1,T1,2026,CN
CN122274941A,1,T1,2026,CN
CN122274989A,10,T10,2026,CN
CN122275003A,29,T29,2026,CN
CN122275023A,1,T1,2026,CN
CN122275024A,9,T9,2026,CN
CN122275058A,-1,Noise,2026,CN
CN122276047A,9,T9,2026,CN
CN122281926A,33,T33,2026,CN
CN122283593A,30,T30,2026,CN
CN122283746A,15,T15,2026,CN
CN122284520A,65,T65,2026,CN
CN122284596A,3,T3,2026,CN
CN122284637A,-1,Noise,2026,CN
CN122284661A,3,T3,2026,CN
CN122290189A,26,T26,2026,CN
CN122290568A,2,T2,2026,CN
CN224407616U,-1,Noise,2025,CN
CN224407640U,12,T12,2025,CN
CN224409118U,0,T0,2025,CN
US20260175418A1,5,T5,2025,US
US20260179318A1,-1,Noise,2026,US
WO2026129418A1,-1,Noise,2024,Other
WO2026130285A1,5,T5,2025,Other
WO2026135573A1,42,T42,2025,Other
EP4761885A1,-1,Noise,2024,Other
JP2026103405A,14,T14,2024,JP
JP7879790B2,-1,Noise,2022,JP
CN115311620B,50,T50,2022,CN
CN121746555B,68,T68,2026,CN
CN122250292A,39,T39,2026,CN
CN122253153A,15,T15,2026,CN
CN122253163A,1,T1,2026,CN
CN122253166A,5,T5,2026,CN
CN122253170A,5,T5,2026,CN
CN122253257A,19,T19,2026,CN
CN122253988A,13,T13,2026,CN
CN122258919A,-1,Noise,2026,CN
CN122258922A,33,T33,2026,CN
CN122259079A,20,T20,2026,CN
CN122259112A,1,T1,2024,CN
CN122260507A,29,T29,2026,CN
CN122260767A,-1,Noise,2026,CN
CN122260837A,57,T57,2026,CN
CN122260870A,3,T3,2026,CN
CN122260935A,5,T5,2026,CN
CN122260964A,1,T1,2026,CN
CN122260968A,-1,Noise,2026,CN
CN122261029A,49,T49,2026,CN
CN122261101A,17,T17,2026,CN
CN122261194A,1,T1,2026,CN
CN122265711A,10,T10,2026,CN
CN122268066A,13,T13,2026,CN
CN224391171U,13,T13,2025,CN
CN224391173U,-1,Noise,2025,CN
CN224392340U,0,T0,2025,CN
CN224392803U,0,T0,2025,CN
CN224399750U,2,T2,2025,CN
US12661798B2,-1,Noise,2024,US
US12664684B2,-1,Noise,2022,US
TR2026008431A2,2,T2,2026,Other
CN117589161B,15,T15,2023,CN
CN120036246B,61,T61,2025,CN
CN121483768B,36,T36,2025,CN
CN121979267B,27,T27,2026,CN
CN122058378B,10,T10,2026,CN
CN122230311A,14,T14,2026,CN
CN122231822A,9,T9,2026,CN
CN122231839A,19,T19,2026,CN
CN122231840A,-1,Noise,2026,CN
CN122231855A,57,T57,2026,CN
CN122231863A,-1,Noise,2026,CN
CN122231864A,1,T1,2026,CN
CN122231888A,1,T1,2026,CN
CN122231896A,65,T65,2026,CN
CN122231915A,6,T6,2026,CN
CN122231926A,-1,Noise,2026,CN
CN122231928A,12,T12,2026,CN
CN122231929A,9,T9,2026,CN
CN122231931A,-1,Noise,2026,CN
CN122231960A,-1,Noise,2026,CN
CN122232765A,-1,Noise,2026,CN
CN122232766A,0,T0,2026,CN
CN122232768A,0,T0,2026,CN
CN122239414A,3,T3,2026,CN
CN122239448A,5,T5,2026,CN
CN122239593A,-1,Noise,2026,CN
CN122239750A,3,T3,2026,CN
CN122239755A,-1,Noise,2026,CN
CN122239774A,6,T6,2026,CN
CN122241442A,35,T35,2026,CN
CN122244869A,6,T6,2026,CN
CN122245316A,2,T2,2026,CN
CN224370636U,11,T11,2025,CN
CN224375742U,9,T9,2025,CN
CN224385223U,0,T0,2025,CN
IN202641069496A,2,T2,2026,IN
IN202641070932A,69,T69,2026,IN
IN202641071981A,2,T2,2026,IN
DE202026001560U1,20,T20,2026,DE
US20260165900A1,48,T48,2023,US
US20260166744A1,10,T10,2025,US
CN120246123B,0,T0,2025,CN
CN121170876B,2,T2,2025,CN
CN121516132B,0,T0,2026,CN
CN122210575A,8,T8,2026,CN
CN122210579A,-1,Noise,2026,CN
CN122210582A,-1,Noise,2026,CN
CN122210604A,57,T57,2026,CN
CN122210606A,5,T5,2026,CN
CN122210607A,57,T57,2026,CN
CN122210633A,32,T32,2026,CN
CN122210668A,-1,Noise,2024,CN
CN122210670A,36,T36,2026,CN
CN122210705A,1,T1,2026,CN
CN122210710A,16,T16,2026,CN
CN122219069A,5,T5,2026,CN
CN122219076A,5,T5,2026,CN
CN122219202A,-1,Noise,2026,CN
CN122219243A,6,T6,2026,CN
CN122219426A,-1,Noise,2026,CN
CN122221403A,-1,Noise,2026,CN
CN122222573A,30,T30,2026,CN
CN122223721A,-1,Noise,2026,CN
US12654321B2,22,T22,2023,US
US12658188B2,2,T2,2022,US
TW202623976A,19,T19,2024,Other
KR102978664B1,12,T12,2026,KR
JP2026096918A,11,T11,2025,JP
CN117036469B,-1,Noise,2023,CN
CN117434841B,3,T3,2023,CN
CN121783173B,33,T33,2026,CN
CN122185121A,9,T9,2025,CN
CN122185131A,19,T19,2026,CN
CN122185171A,72,T72,2026,CN
CN122185192A,57,T57,2026,CN
CN122185237A,-1,Noise,2026,CN
CN122185241A,6,T6,2026,CN
CN122185248A,5,T5,2026,CN
CN122185285A,1,T1,2026,CN
CN122185303A,-1,Noise,2026,CN
CN122186124A,1,T1,2026,CN
CN122188408A,66,T66,2026,CN
CN122189333A,36,T36,2026,CN
CN122192572A,-1,Noise,2026,CN
CN122192811A,16,T16,2026,CN
CN122194988A,33,T33,2026,CN
CN122195060A,3,T3,2026,CN
CN122195061A,3,T3,2026,CN
CN122195069A,6,T6,2026,CN
CN122195958A,-1,Noise,2026,CN
CN122196245A,2,T2,2026,CN
CN122196859A,56,T56,2025,CN
CN122197955A,6,T6,2026,CN
CN122199760A,-1,Noise,2026,CN
CN122200206A,-1,Noise,2026,CN
CN122200737A,-1,Noise,2026,CN
CN122201723A,8,T8,2026,CN
CN224349029U,0,T0,2025,CN
IN202541047561A,44,T44,2025,IN
IN202541053567A,20,T20,2025,IN
IN202641047909A,2,T2,2026,IN
TWI928955B,26,T26,2025,Other
KR1020260086749A,30,T30,2026,KR
CN117775138B,0,T0,2023,CN
CN118071798B,-1,Noise,2024,CN
CN121403406B,28,T28,2025,CN
CN121979265B,3,T3,2026,CN
CN122163061A,-1,Noise,2025,CN
CN122165325A,-1,Noise,2026,CN
CN122165364A,72,T72,2026,CN
CN122165414A,32,T32,2026,CN
CN122165420A,6,T6,2026,CN
CN122165421A,5,T5,2026,CN
CN122165432A,2,T2,2026,CN
CN122165437A,1,T1,2026,CN
CN122165448A,-1,Noise,2026,CN
CN122165491A,-1,Noise,2026,CN
CN122171087A,20,T20,2026,CN
CN122172122A,2,T2,2026,CN
CN122172777A,33,T33,2026,CN
CN122172830A,6,T6,2026,CN
CN122174868A,1,T1,2026,CN
CN122180628A,-1,Noise,2024,CN
CN224334489U,12,T12,2025,CN
CN224335732U,0,T0,2025,CN
CN224335736U,0,T0,2025,CN
US12649240B1,-1,Noise,2025,US
CN121680475B,67,T67,2026,CN
CN121733581B,16,T16,2026,CN
CN121946550B,6,T6,2026,CN
CN122142696A,-1,Noise,2026,CN
CN122142977A,5,T5,2026,CN
CN122142989A,1,T1,2026,CN
CN122143010A,5,T5,2026,CN
CN122143021A,1,T1,2026,CN
CN122143069A,1,T1,2026,CN
CN122143092A,4,T4,2026,CN
CN122143108A,19,T19,2026,CN
CN122144038A,0,T0,2026,CN
CN122151619A,6,T6,2026,CN
CN122151903A,-1,Noise,2026,CN
CN122153654A,-1,Noise,2026,CN
CN122154749A,-1,Noise,2026,CN
CN122157312A,-1,Noise,2026,CN
CN122160998A,-1,Noise,2026,CN
CN224321004U,11,T11,2025,CN
CN224323129U,9,T9,2025,CN
CN224323133U,-1,Noise,2025,CN
IN202641044411A,2,T2,2026,IN
IN202641065460A,2,T2,2026,IN
US20260153625A1,15,T15,2026,US
CN119847023B,1,T1,2024,CN
CN119927950B,4,T4,2025,CN
CN120901960B,5,T5,2025,CN
CN121340233B,17,T17,2025,CN
CN121625158B,-1,Noise,2026,CN
CN121661700B,2,T2,2026,CN
CN121934613B,7,T7,2026,CN
CN122125691A,-1,Noise,2026,CN
CN122125731A,1,T1,2026,CN
CN122125760A,-1,Noise,2026,CN
CN122133256A,3,T3,2026,CN
CN122133702A,1,T1,2026,CN
CN122134889A,68,T68,2026,CN
US12645773B2,42,T42,2024,US
TWM683771U,23,T23,2026,Other
KR102972174B1,21,T21,2026,KR
VN125611A,2,T2,2026,Other
CN116580064B,15,T15,2023,CN
CN121485372B,-1,Noise,2026,CN
CN121650030B,1,T1,2026,CN
CN121682451B,15,T15,2026,CN
CN122100107A,-1,Noise,2026,CN
CN122100155A,5,T5,2026,CN
CN122100163A,-1,Noise,2026,CN
CN122100196A,-1,Noise,2026,CN
CN122100231A,1,T1,2026,CN
CN122101227A,7,T7,2026,CN
CN122101237A,7,T7,2026,CN
CN122101358A,-1,Noise,2026,CN
CN122108148A,6,T6,2026,CN
CN122110672A,6,T6,2026,CN
CN122110835A,3,T3,2026,CN
CN224295861U,4,T4,2025,CN
CN224297307U,9,T9,2025,CN
IN202641062477A,46,T46,2026,IN
IN202641063500A,28,T28,2026,IN
WO2026108507A1,73,T73,2025,Other
EP4746797A1,-1,Noise,2024,Other
CN115047759B,-1,Noise,2022,CN
CN117532609B,2,T2,2023,CN
CN120038753B,1,T1,2025,CN
CN121290419B,65,T65,2025,CN
CN121572351B,4,T4,2026,CN
CN121721972B,6,T6,2026,CN
CN121847880B,36,T36,2026,CN
CN122077598A,-1,Noise,2025,CN
CN122077611A,-1,Noise,2026,CN
CN122077618A,32,T32,2026,CN
CN122077630A,-1,Noise,2026,CN
CN122077656A,3,T3,2026,CN
CN122077687A,4,T4,2026,CN
CN122078245A,-1,Noise,2026,CN
CN122083953A,15,T15,2026,CN
CN122085989A,-1,Noise,2025,CN
CN122085993A,5,T5,2026,CN
CN122086069A,6,T6,2026,CN
CN122086099A,27,T27,2026,CN
CN122087574A,-1,Noise,2026,CN
CN122088551A,5,T5,2026,CN
CN122089989A,33,T33,2026,CN
CN122094136A,49,T49,2026,CN
CN224269985U,0,T0,2025,CN
CN224275106U,13,T13,2025,CN
CN224275128U,-1,Noise,2025,CN
CN224276974U,-1,Noise,2025,CN
CN224277367U,13,T13,2025,CN
US12636785B2,21,T21,2024,US
US12638859B2,-1,Noise,2025,US
US12638922B2,-1,Noise,2024,US
KR102967195B1,8,T8,2025,KR
TH2501004024A,18,T18,2025,Other
IN202617018249A,-1,Noise,2026,IN
US20260138273A1,49,T49,2023,US
WO2026102554A1,28,T28,2025,Other
WO2026103002A1,13,T13,2025,Other
WO2026103970A1,64,T64,2026,Other
KR1020260073321A,12,T12,2026,KR
TR2024006724B,54,T54,2024,Other
JP3255884U,-1,Noise,2026,JP
CN115480594B,40,T40,2021,CN
CN117310302B,20,T20,2023,CN
CN121722121B,33,T33,2026,CN
CN122056724A,48,T48,2025,CN
CN122058346A,1,T1,2026,CN
CN122058371A,28,T28,2026,CN
CN122058378A,10,T10,2026,CN
CN122058383A,-1,Noise,2026,CN
CN122058401A,5,T5,2026,CN
CN122058987A,-1,Noise,2026,CN
CN122059016A,0,T0,2026,CN
CN122059071A,12,T12,2025,CN
CN122064027A,5,T5,2026,CN
CN122064031A,-1,Noise,2026,CN
CN122064106A,1,T1,2026,CN
CN122069115A,17,T17,2026,CN
CN224255349U,9,T9,2025,CN
CN224255389U,-1,Noise,2025,CN
CN114463243B,26,T26,2020,CN
CN115631348B,50,T50,2022,CN
CN122033891A,13,T13,2026,CN
CN122033892A,13,T13,2026,CN
CN122033893A,13,T13,2026,CN
CN122033938A,5,T5,2026,CN
CN122034044A,-1,Noise,2026,CN
CN122034554A,67,T67,2026,CN
CN122034679A,2,T2,2025,CN
CN122035042A,-1,Noise,2026,CN
CN122035168A,0,T0,2026,CN
CN122035169A,19,T19,2026,CN
CN122038010A,66,T66,2026,CN
CN122043948A,67,T67,2026,CN
CN122044035A,-1,Noise,2026,CN
CN122044306A,44,T44,2026,CN
CN122049225A,35,T35,2026,CN
CN122052439A,-1,Noise,2026,CN
CN224241141U,0,T0,2025,CN
CN224241142U,0,T0,2025,CN
CN224245856U,-1,Noise,2025,CN
CN224249432U,49,T49,2025,CN
IN202641057487A,2,T2,2026,IN
JP2026078948A,71,T71,2024,JP
WO2026098724A1,9,T9,2025,Other
IN588837A1,-1,Noise,2019,IN
JP2026078104A,71,T71,2024,JP
JP2026078105A,71,T71,2024,JP
US20260131464A1,34,T34,2025,US
US20260133584A1,70,T70,2025,US
US20260134412A1,-1,Noise,2025,US
CN119682878B,9,T9,2025,CN
CN120697023B,65,T65,2025,CN
CN121179480B,-1,Noise,2025,CN
CN121340271B,5,T5,2025,CN
CN121541648B,15,T15,2026,CN
CN122008213A,-1,Noise,2026,CN
CN122008216A,-1,Noise,2026,CN
CN122008227A,5,T5,2026,CN
CN122008238A,5,T5,2026,CN
CN122008250A,32,T32,2026,CN
CN122008251A,-1,Noise,2026,CN
CN122008293A,1,T1,2026,CN
CN122008320A,-1,Noise,2026,CN
CN122009359A,-1,Noise,2026,CN
CN122011932A,20,T20,2026,CN
CN122013843A,-1,Noise,2026,CN
CN122018332A,6,T6,2026,CN
CN122018682A,-1,Noise,2026,CN
CN122020539A,2,T2,2026,CN
CN122021709A,5,T5,2025,CN
CN224223883U,29,T29,2025,CN
CN224225180U,0,T0,2025,CN
CN224225182U,-1,Noise,2025,CN
JP2026076684A,71,T71,2024,JP
JP2026076685A,71,T71,2024,JP
KR1020260066276A,0,T0,2024,KR
JP2026514522A,45,T45,2024,JP
CN117325177B,-1,Noise,2023,CN
CN120125755B,15,T15,2025,CN
CN121199998B,65,T65,2025,CN
CN121660920B,15,T15,2025,CN
CN121988000A,6,T6,2026,CN
CN121989231A,65,T65,2025,CN
CN121989238A,1,T1,2026,CN
CN121989286A,19,T19,2026,CN
CN121989288A,19,T19,2026,CN
CN121989296A,-1,Noise,2026,CN
CN121989300A,-1,Noise,2026,CN
CN121990076A,-1,Noise,2026,CN
CN121994172A,12,T12,2026,CN
CN121994228A,1,T1,2025,CN
CN121995943A,27,T27,2026,CN
CN121995944A,-1,Noise,2026,CN
CN224209992U,13,T13,2025,CN
IN202631052683A,2,T2,2026,IN
US20260124746A1,5,T5,2025,US
US20260124750A1,-1,Noise,2025,US
US20260124769A1,-1,Noise,2025,US
US20260126796A1,-1,Noise,2025,US
US20260126804A1,-1,Noise,2025,US
US20260126805A1,-1,Noise,2025,US
WO2026093977A1,-1,Noise,2025,Other
KR1020260061130A,33,T33,2026,KR
KR1020260061389A,-1,Noise,2026,KR
CN116788383B,0,T0,2023,CN
CN117584110B,19,T19,2023,CN
CN121325859B,1,T1,2025,CN
CN121757299B,19,T19,2026,CN
CN121973146A,1,T1,2026,CN
CN121973208A,5,T5,2026,CN
CN121973232A,5,T5,2026,CN
CN121973236A,1,T1,2026,CN
CN121973246A,28,T28,2026,CN
CN121973258A,13,T13,2026,CN
CN121973277A,16,T16,2026,CN
CN121973869A,3,T3,2026,CN
CN121977535A,15,T15,2026,CN
CN121977565A,-1,Noise,2026,CN
CN121977572A,33,T33,2026,CN
CN121977581A,-1,Noise,2026,CN
CN121979188A,27,T27,2024,CN
CN121979255A,1,T1,2026,CN
CN121979265A,3,T3,2026,CN
CN121979267A,27,T27,2026,CN
CN121982361A,-1,Noise,2025,CN
CN121982627A,41,T41,2025,CN
CN121982653A,51,T51,2026,CN
CN121984799A,46,T46,2026,CN
CN224196831U,12,T12,2025,CN
US12617104B2,0,T0,2022,US
KR1020260059760A,0,T0,2024,KR
CN117429531B,0,T0,2023,CN
CN121455036B,-1,Noise,2025,CN
CN121492126B,5,T5,2026,CN
CN121942670A,-1,Noise,2025,CN
CN121946454A,12,T12,2026,CN
CN121946461A,5,T5,2025,CN
CN121946467A,1,T1,2025,CN
CN121946508A,1,T1,2026,CN
CN121946527A,1,T1,2026,CN
CN121946543A,1,T1,2026,CN
CN121946550A,6,T6,2026,CN
CN121947650A,40,T40,2026,CN
CN121954006A,33,T33,2026,CN
CN121956524A,6,T6,2025,CN
CN121956659A,44,T44,2025,CN
CN121957078A,6,T6,2026,CN
CN121957481A,17,T17,2025,CN
CN121958481A,17,T17,2025,CN
CN121960563A,32,T32,2025,CN
CN121960564A,32,T32,2026,CN
CN121960565A,32,T32,2026,CN
CN121960566A,63,T63,2026,CN
CN121962722A,17,T17,2025,CN
CN121962883A,17,T17,2025,CN
CN121967892A,35,T35,2025,CN
CN224179879U,24,T24,2025,CN
CN224180233U,11,T11,2025,CN
CN224183069U,12,T12,2026,CN
CN224183101U,13,T13,2025,CN
CN224183114U,13,T13,2025,CN
CN224183118U,-1,Noise,2025,CN
IN202621012402A,8,T8,2026,IN
IN202641049775A,2,T2,2026,IN
DE212025000085U1,-1,Noise,2025,DE
US20260118225A1,-1,Noise,2025,US
WO2026087447A1,2,T2,2025,Other
WO2026089026A1,71,T71,2025,Other
CN117621140B,0,T0,2022,CN
CN121074210B,68,T68,2025,CN
CN121677735B,27,T27,2026,CN
CN121702728B,20,T20,2026,CN
CN121928530A,2,T2,2026,CN
CN121928562A,-1,Noise,2026,CN
CN121928581A,2,T2,2026,CN
CN121928596A,-1,Noise,2024,CN
CN121929149A,7,T7,2025,CN
CN121933015A,27,T27,2026,CN
CN121934612A,3,T3,2026,CN
CN121934613A,7,T7,2026,CN
CN121934644A,48,T48,2026,CN
CN224169828U,19,T19,2025,CN
CN224177140U,-1,Noise,2025,CN
US12611767B2,34,T34,2025,US
CN121912389A,10,T10,2026,CN
CN121912402A,5,T5,2026,CN
CN121912430A,13,T13,2026,CN
CN121912436A,5,T5,2026,CN
CN121912437A,-1,Noise,2026,CN
CN121916275A,12,T12,2026,CN
CN121916882A,-1,Noise,2026,CN
CN121916894A,1,T1,2025,CN
CN121917221A,-1,Noise,2026,CN
CN121918389A,1,T1,2025,CN
CN121918405A,5,T5,2025,CN
CN121918491A,1,T1,2026,CN
CN121918613A,6,T6,2026,CN
CN121924288A,26,T26,2026,CN
CN121924359A,-1,Noise,2026,CN
CN224156236U,0,T0,2025,CN
IN202441079325A,-1,Noise,2024,IN
IN202641045435A,8,T8,2026,IN
FR3167753A1,2,T2,2024,FR
KR102956448B1,10,T10,2025,KR
CN121186788B,1,T1,2025,CN
CN121300636B,-1,Noise,2025,CN
CN121580141B,47,T47,2026,CN
CN121626325B,9,T9,2026,CN
CN121893221A,-1,Noise,2026,CN
CN121893226A,39,T39,2026,CN
CN121893278A,1,T1,2026,CN
CN121893321A,19,T19,2026,CN
CN121893332A,17,T17,2026,CN
CN121894073A,0,T0,2026,CN
CN121895754A,66,T66,2025,CN
CN121898395A,15,T15,2026,CN
CN121898422A,-1,Noise,2026,CN
CN121900395A,15,T15,2025,CN
CN121902025A,17,T17,2025,CN
CN121906846A,-1,Noise,2025,CN
CN224144706U,-1,Noise,2025,CN
CN224146051U,0,T0,2025,CN
US12605823B1,-1,Noise,2024,US
CN116030493B,41,T41,2022,CN
CN116279893B,0,T0,2023,CN
CN116625364B,33,T33,2023,CN
CN119880205B,20,T20,2025,CN
CN121157111B,1,T1,2025,CN
CN121492070B,5,T5,2026,CN
CN121612315B,33,T33,2026,CN
CN121870783A,1,T1,2026,CN
CN121870787A,-1,Noise,2026,CN
CN121878858A,46,T46,2023,CN
CN121879126A,-1,Noise,2025,CN
CN121879233A,10,T10,2025,CN
CN121879363A,6,T6,2026,CN
CN121880015A,65,T65,2026,CN
CN121881853A,7,T7,2026,CN
CN121882096A,5,T5,2025,CN
CN121884311A,-1,Noise,2025,CN
CN121884442A,53,T53,2025,CN
CN224128773U,36,T36,2025,CN
IN202441078598A,0,T0,2024,IN
IN202531082661A,8,T8,2025,IN
IN202621023885A,5,T5,2026,IN
IN202641022334A,8,T8,2026,IN
US20260102903A1,36,T36,2025,US
WO2026080502A1,-1,Noise,2025,Other
TW202615804A,-1,Noise,2024,Other
CN119440025B,3,T3,2024,CN
CN120063276B,-1,Noise,2025,CN
CN120369006B,27,T27,2025,CN
CN121492124B,-1,Noise,2026,CN
CN121535787B,0,T0,2026,CN
CN121613756B,-1,Noise,2026,CN
CN121650025B,6,T6,2026,CN
CN121845910A,2,T2,2026,CN
CN121846550A,24,T24,2026,CN
CN121847880A,36,T36,2026,CN
CN121848352A,9,T9,2026,CN
CN121848369A,1,T1,2024,CN
CN121848373A,-1,Noise,2025,CN
CN121848385A,5,T5,2026,CN
CN121848389A,1,T1,2026,CN
CN121848392A,-1,Noise,2026,CN
CN121848442A,1,T1,2026,CN
CN121849265A,19,T19,2025,CN
CN121855534A,27,T27,2025,CN
CN121857307A,5,T5,2025,CN
CN121857308A,1,T1,2026,CN
CN121857367A,44,T44,2025,CN
CN121857400A,3,T3,2025,CN
CN121857675A,1,T1,2025,CN
CN121857704A,-1,Noise,2026,CN
CN121857755A,3,T3,2025,CN
CN121857978A,20,T20,2026,CN
CN121859535A,-1,Noise,2025,CN
CN121860519A,-1,Noise,2026,CN
CN121863774A,0,T0,2026,CN
CN224112960U,24,T24,2025,CN
CN224117400U,0,T0,2025,CN
US12600568B1,-1,Noise,2025,US
TWI922316B,75,T75,2025,Other
CN116607905B,0,T0,2023,CN
CN117141613B,-1,Noise,2023,CN
CN117440909B,40,T40,2022,CN
CN120673228B,7,T7,2025,CN
CN121659991B,5,T5,2026,CN
CN121821311A,-1,Noise,2025,CN
CN121821396A,-1,Noise,2026,CN
CN121821400A,8,T8,2026,CN
CN121821463A,-1,Noise,2026,CN
CN121822677A,0,T0,2025,CN
CN121822679A,6,T6,2026,CN
CN121822684A,9,T9,2026,CN
CN121822773A,-1,Noise,2025,CN
CN121832581A,-1,Noise,2025,CN
CN121832590A,6,T6,2026,CN
CN121835816A,57,T57,2025,CN
CN121837157A,30,T30,2025,CN
CN121838028A,15,T15,2025,CN
CN121842253A,21,T21,2026,CN
CN224102963U,0,T0,2025,CN
CN224104184U,0,T0,2025,CN
IN202641038527A,15,T15,2026,IN
IN202641038926A,-1,Noise,2026,IN
IN202641038945A,-1,Noise,2026,IN
IN202641040368A,2,T2,2026,IN
JP2026062316A,-1,Noise,2024,JP
US20260097488A1,45,T45,2025,US
EP4001010B1,7,T7,2021,Other
CN121386792B,1,T1,2025,CN
CN121798581A,5,T5,2025,CN
CN121798600A,-1,Noise,2025,CN
CN121798619A,21,T21,2026,CN
CN121798634A,-1,Noise,2026,CN
CN121798655A,10,T10,2026,CN
CN121798674A,17,T17,2025,CN
CN121799378A,7,T7,2025,CN
CN121801037A,66,T66,2025,CN
CN121804723A,66,T66,2026,CN
CN121806458A,5,T5,2025,CN
CN121806509A,-1,Noise,2026,CN
CN121806511A,6,T6,2026,CN
CN121806512A,-1,Noise,2026,CN
CN121806572A,38,T38,2025,CN
CN121806618A,-1,Noise,2025,CN
CN121809538A,17,T17,2025,CN
CN121811453A,-1,Noise,2025,CN
CN121814856A,-1,Noise,2025,CN
KR1020260047037A,6,T6,2024,KR
CN114049681B,26,T26,2018,CN
CN121552445B,32,T32,2026,CN
CN121776725A,36,T36,2025,CN
CN121777129A,-1,Noise,2026,CN
CN121777165A,5,T5,2026,CN
CN121777198A,48,T48,2025,CN
CN121782237A,16,T16,2025,CN
CN121782939A,52,T52,2026,CN
CN121783173A,33,T33,2026,CN
CN121785330A,-1,Noise,2026,CN
CN121788194A,42,T42,2025,CN
