doc_id,source_doc_id,simple_family_id,publication_number,bertopic_topic,year
502,522,417261875,CN121973277A,16,2026
503,523,417271894,CN121973869A,3,2026
504,524,417269104,CN121977535A,15,2026
505,526,417266377,CN121977572A,33,2026
506,528,417216614,CN121979188A,27,2024
507,529,417216036,CN121979255A,1,2026
508,532,417278262,CN121982361A,-1,2025
509,533,417282304,CN121982627A,41,2025
510,534,417284609,CN121982653A,51,2026
511,535,417243777,CN121984799A,46,2026
512,536,417280389,CN224196831U,12,2025
513,537,341957638,US12617104B2,0,2022
514,538,417471324,KR1020260059760A,0,2024
515,539,380871661,CN117429531B,0,2023
516,540,413399012,CN121455036B,-1,2025
517,541,413700335,CN121492126B,5,2026
518,542,417139509,CN121942670A,-1,2025
519,543,417080227,CN121946454A,12,2026
520,544,417080728,CN121946461A,5,2025
521,545,417081249,CN121946467A,1,2025
522,546,417084546,CN121946508A,1,2026
523,547,417079922,CN121946527A,1,2026
524,550,417102770,CN121947650A,40,2026
525,551,417119300,CN121954006A,33,2026
526,552,417058088,CN121956524A,6,2025
527,553,417062642,CN121956659A,44,2025
528,554,417073199,CN121957078A,6,2026
529,555,417080249,CN121957481A,17,2025
530,556,417099611,CN121958481A,17,2025
531,557,417142762,CN121960563A,32,2025
532,558,417142827,CN121960564A,32,2026
533,559,417142915,CN121960565A,32,2026
534,560,417143008,CN121960566A,63,2026
535,561,417073296,CN121962722A,17,2025
536,562,417074689,CN121962883A,17,2025
537,563,417063669,CN121967892A,35,2025
538,564,417142588,CN224179879U,24,2025
539,565,417147523,CN224180233U,11,2025
540,566,417092277,CN224183069U,12,2026
541,567,417094117,CN224183101U,13,2025
542,568,417094805,CN224183114U,13,2025
543,569,417095011,CN224183118U,-1,2025
544,570,417195667,IN202621012402A,8,2026
545,571,417197957,IN202641049775A,2,2026
546,572,392526731,DE212025000085U1,-1,2025
547,573,417029778,US20260118225A1,-1,2025
548,575,417041176,WO2026089026A1,71,2025
549,576,382551126,CN117621140B,0,2022
550,577,410669984,CN121074210B,68,2025
551,578,415127591,CN121677735B,27,2026
552,579,415265746,CN121702728B,20,2026
553,580,416970788,CN121928530A,2,2026
554,581,416968099,CN121928562A,-1,2026
555,582,416969309,CN121928581A,2,2026
556,583,416970256,CN121928596A,-1,2024
557,584,416983439,CN121929149A,7,2025
558,585,416971231,CN121933015A,27,2026
559,588,416910836,CN121934644A,48,2026
560,589,416982501,CN224169828U,19,2025
561,590,416953007,CN224177140U,-1,2025
562,591,414863306,US12611767B2,34,2025
563,592,416858933,CN121912389A,10,2026
564,593,416859879,CN121912402A,5,2026
565,594,416857009,CN121912430A,13,2026
566,595,416857368,CN121912436A,5,2026
567,596,416857430,CN121912437A,-1,2026
568,597,416834988,CN121916275A,12,2026
569,598,416846630,CN121916882A,-1,2026
570,599,416847510,CN121916894A,1,2025
571,600,416855515,CN121917221A,-1,2026
572,601,416797357,CN121918389A,1,2025
573,602,416798196,CN121918405A,5,2025
574,603,416798990,CN121918491A,1,2026
575,605,416841323,CN121924288A,26,2026
576,606,416840406,CN121924359A,-1,2026
577,607,416831414,CN224156236U,0,2025
578,608,416878070,IN202441079325A,-1,2024
579,609,416874820,IN202641045435A,8,2026
580,610,417018025,FR3167753A1,2,2024
581,611,417202034,KR102956448B1,10,2025
582,612,411467986,CN121186788B,1,2025
583,613,412289867,CN121300636B,-1,2025
584,614,414339343,CN121580141B,47,2026
585,615,414774116,CN121626325B,9,2026
586,616,416726573,CN121893221A,-1,2026
587,617,416726937,CN121893226A,39,2026
588,618,416723910,CN121893278A,1,2026
589,619,416726499,CN121893321A,19,2026
590,620,416727146,CN121893332A,17,2026
591,621,416630486,CN121894073A,0,2026
592,622,416663065,CN121895754A,66,2025
593,623,416716965,CN121898395A,15,2026
594,624,416718593,CN121898422A,-1,2026
595,625,416650093,CN121900395A,15,2025
596,626,416677617,CN121902025A,17,2025
597,627,416670904,CN121906846A,-1,2025
598,628,416629406,CN224144706U,-1,2025
599,629,416654043,CN224146051U,0,2025
600,630,416621081,US12605823B1,-1,2024
601,631,368180033,CN116030493B,41,2022
602,632,370821898,CN116279893B,0,2023
603,633,373554635,CN116625364B,33,2023
604,634,401685695,CN119880205B,20,2025
605,635,411324885,CN121157111B,1,2025
606,636,413699857,CN121492070B,5,2026
607,637,414651458,CN121612315B,33,2026
608,638,416542386,CN121870783A,1,2026
609,639,416542643,CN121870787A,-1,2026
610,640,416481451,CN121878858A,46,2023
611,641,416484449,CN121879126A,-1,2025
612,642,416486606,CN121879233A,10,2025
613,643,416489212,CN121879363A,6,2026
614,644,416499777,CN121880015A,65,2026
615,645,416541089,CN121881853A,7,2026
616,646,416547394,CN121882096A,5,2025
617,647,416481526,CN121884311A,-1,2025
618,648,416484883,CN121884442A,53,2025
619,649,416467752,CN224128773U,36,2025
620,650,416465228,IN202441078598A,0,2024
621,651,416464051,IN202531082661A,8,2025
622,652,416462665,IN202621023885A,5,2026
623,653,416461515,IN202641022334A,8,2026
624,654,416449520,US20260102903A1,36,2025
625,655,416447201,WO2026080502A1,-1,2025
626,656,410486500,TW202615804A,-1,2024
627,657,398399237,CN119440025B,3,2024
628,658,403111581,CN120063276B,-1,2025
629,659,405433006,CN120369006B,27,2025
630,660,413700197,CN121492124B,-1,2026
631,661,414018483,CN121535787B,0,2026
632,662,414664113,CN121613756B,-1,2026
633,663,414916993,CN121650025B,6,2026
634,664,416336665,CN121845910A,2,2026
635,665,416347176,CN121846550A,24,2026
636,667,416385287,CN121848352A,9,2026
637,668,416386514,CN121848369A,1,2024
638,669,416386800,CN121848373A,-1,2025
639,670,416387658,CN121848385A,5,2026
640,671,416387946,CN121848389A,1,2026
641,672,416388156,CN121848392A,-1,2026
642,673,416386997,CN121848442A,1,2026
643,674,416403590,CN121849265A,19,2025
644,675,416314918,CN121855534A,27,2025
645,676,416345608,CN121857307A,5,2025
646,677,416345698,CN121857308A,1,2026
647,678,416350123,CN121857367A,44,2025
648,679,416346403,CN121857400A,3,2025
649,680,416350817,CN121857675A,1,2025
650,681,416352840,CN121857704A,-1,2026
651,682,416356725,CN121857755A,3,2025
652,683,416355601,CN121857978A,20,2026
653,684,416391663,CN121859535A,-1,2025
654,685,416310391,CN121860519A,-1,2026
655,686,416376020,CN121863774A,0,2026
656,687,416373776,CN224112960U,24,2025
657,688,416364546,CN224117400U,0,2025
658,689,416299040,US12600568B1,-1,2025
659,690,409462851,TWI922316B,75,2025
660,691,373389730,CN116607905B,0,2023
661,692,378531806,CN117141613B,-1,2023
662,693,378451281,CN117440909B,40,2022
663,694,407604610,CN120673228B,7,2025
664,695,414910013,CN121659991B,5,2026
665,696,416185411,CN121821311A,-1,2025
666,697,416185614,CN121821396A,-1,2026
667,698,416185862,CN121821400A,8,2026
668,699,416189043,CN121821463A,-1,2026
669,700,416206517,CN121822677A,0,2025
670,701,416206621,CN121822679A,6,2026
671,702,416206966,CN121822684A,9,2026
672,703,416207573,CN121822773A,-1,2025
673,704,416189052,CN121832581A,-1,2025
674,705,416189514,CN121832590A,6,2026
