bertopic_id,bertopic_name,proposed_safety,subsystem_id,proposed_role,supporting_patent_numbers,evidence_patent_number,evidence_location,exact_evidence_excerpt,evidence_status,human_subsystem_decision,human_role_judgment,reviewer_confidence,reviewer_note
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,HRI_INTERFACE,CONTEXT_ONLY,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A;CN118331283B;CN121916894A;CN122353585A;CN1807135A;JP2010137289A,CN1807135A,CLAIM,"1. A quasi-magneto imitating automotive vehicle intelligent control of the active suspension component posture coordinated method, comprising the steps of : (1) using an acceleration sensor and an inclination sensor on-line extraction of the car body motion gesture signal; (2) a method of using the humanoid intelligent control, determining a motion gesture; (3) adopt different control modes for different motion gesture; (4) determining a control parameter so that the vertical vibration, pitch and roll motion in each of the resonant frequency has a minimum pass characteristic, thereby adjusting the magneto-rheological damper damping force, causing the car to obtain good ride comfort and steering stability;",FOUND,,,,
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,SYSTEM_INTEGRATION,SECONDARY,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A;CN118331283B;CN121916894A;CN122353585A;CN1807135A;JP2010137289A,,,,INSUFFICIENT,,,,
3,3_foot_robot_foot robot_leg,PARTIAL,PERCEPTION,SECONDARY,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B;CN120295284A;CN121133868A;CN121979265B;CN122299574A;WO2012011182A1,CN120295284A,CLAIM,"1. A four-foot robot foot end track motion control method based on local terrain self-adaptation, wherein it comprises the following steps : S1 : Classification of External Terrain Information : through the foot end three-dimensional force sensor of the robot, the machine body IMU sensor is combined with the four-foot robot machine body kinematics positive solution algorithm model to classify the current motion terrain : it is divided into flat terrain, concave-convex terrain and gradient terrain; S2 : sensing the posture of the robot body : through obtaining robot foot end touchdown state, machine body attitude angle, leg joint encoder information, spinal column joint angle information, foot end position information, the multi-sensor information to proceed fusion estimation",FOUND,,,,
3,3_foot_robot_foot robot_leg,PARTIAL,STATE_ESTIMATION,SECONDARY,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B;CN120295284A;CN121133868A;CN121979265B;CN122299574A;WO2012011182A1,CN120295284A,CLAIM,"1. A four-foot robot foot end track motion control method based on local terrain self-adaptation, wherein it comprises the following steps : S1 : Classification of External Terrain Information : through the foot end three-dimensional force sensor of the robot, the machine body IMU sensor is combined with the four-foot robot machine body kinematics positive solution algorithm model to classify the current motion terrain : it is divided into flat terrain, concave-convex terrain and gradient terrain; S2 : sensing the posture of the robot body : through obtaining robot foot end touchdown state, machine body attitude angle, leg joint encoder information, spinal column joint angle information, foot end position information, the multi-sensor information to proceed fusion estimation",FOUND,,,,
3,3_foot_robot_foot robot_leg,PARTIAL,PLANNING_DECISION,PRIMARY,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B;CN120295284A;CN121133868A;CN121979265B;CN122299574A;WO2012011182A1,CN121979265B,CLAIM,"1. A four-foot robot gait self-adaptive control method based on active anti-interference, wherein it comprises the following steps : collecting the position and leg state of the current centroid of the four-foot robot under the world coordinate system, using the centroid planner to obtain the expected centroid position of the current moment; judging whether the four-foot robot is disturbed by the external force greater than the disturbance threshold value according to the position of the current centroid under the world coordinate system, the expected centroid position at the current moment and the expected centroid position at the last moment; if the four-foot robot is disturbed by the external force greater than the disturbance threshold value, determining the foot falling point p",FOUND,,,,
3,3_foot_robot_foot robot_leg,PARTIAL,MOTION_CONTROL,SECONDARY,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B;CN120295284A;CN121133868A;CN121979265B;CN122299574A;WO2012011182A1,CN120295284A,CLAIM,"1. A four-foot robot foot end track motion control method based on local terrain self-adaptation, wherein it comprises the following steps : S1 : Classification of External Terrain Information : through the foot end three-dimensional force sensor of the robot, the machine body IMU sensor is combined with the four-foot robot machine body kinematics positive solution algorithm model to classify the current motion terrain : it is divided into flat terrain, concave-convex terrain and gradient terrain; S2 : sensing the posture of the robot body : through obtaining robot foot end touchdown state, machine body attitude angle, leg joint encoder information, spinal column joint angle information, foot end position information, the multi-sensor information to proceed fusion estimation",FOUND,,,,
3,3_foot_robot_foot robot_leg,PARTIAL,ACTUATION_MECHANICS,PRIMARY,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B;CN120295284A;CN121133868A;CN121979265B;CN122299574A;WO2012011182A1,CN120295284A,CLAIM,"1. A four-foot robot foot end track motion control method based on local terrain self-adaptation, wherein it comprises the following steps : S1 : Classification of External Terrain Information : through the foot end three-dimensional force sensor of the robot, the machine body IMU sensor is combined with the four-foot robot machine body kinematics positive solution algorithm model to classify the current motion terrain : it is divided into flat terrain, concave-convex terrain and gradient terrain; S2 : sensing the posture of the robot body : through obtaining robot foot end touchdown state, machine body attitude angle, leg joint encoder information, spinal column joint angle information, foot end position information, the multi-sensor information to proceed fusion estimation",FOUND,,,,
3,3_foot_robot_foot robot_leg,PARTIAL,EMERGENCY_FAILSAFE,CONTEXT_ONLY,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B;CN120295284A;CN121133868A;CN121979265B;CN122299574A;WO2012011182A1,,,,NO_DIRECT_EVIDENCE,,,,
3,3_foot_robot_foot robot_leg,PARTIAL,SYSTEM_INTEGRATION,CONTEXT_ONLY,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B;CN120295284A;CN121133868A;CN121979265B;CN122299574A;WO2012011182A1,,,,NO_DIRECT_EVIDENCE,,,,
7,7_vehicle_lane_driving_lane changing,PARTIAL,PERCEPTION,PRIMARY,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A;CN117290997A;CN119441810A;CN121929149A;CN122101237A;LU102027B1,CN101439733B,CLAIM,"1. A vehicle the DE device, comprising : A steering wheel for rotating the humanoid actuator, the actuator motor includes a humanoid, mounting plate and the hold lever, the mounting plate can be detachably connected to the steering wheel, the motor shaft and the mounting plate is detachably connected to drive a steering wheel mounting plate and rotatable together, the motor is fixed to the body within the rod, the rod can be telescopically slid so as to prevent the seizure caused by the non-concentric with the steering wheel shaft of the motor; Detection means, detecting means for detecting the excursion of the vehicle status information; and The controller, the controller based on the detection means detects the offset of the motor rotates the control conditi",FOUND,,,,
7,7_vehicle_lane_driving_lane changing,PARTIAL,STATE_ESTIMATION,SECONDARY,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A;CN117290997A;CN119441810A;CN121929149A;CN122101237A;LU102027B1,CN121929149A,CLAIM,"1. A vehicle anthropogenic lane-changing control method of fusion prediction track, wherein it comprises : constructing a vehicle lane-changing expert track set based on the historical vehicle track data, and generating a vehicle lane-changing candidate track set by perturbation expert track end state and polynomial interpolation; extracting the track characteristics of the vehicle lane changing expert track set and the vehicle lane changing candidate track set, and combining the future track information of the environment vehicle to construct the track characteristic vector; the expert track set is used as the real sample, the candidate track set is used as the decision space, the track characteristic vector is used as the characteristic input, the anthropotropic track-changing r",FOUND,,,,
7,7_vehicle_lane_driving_lane changing,PARTIAL,PLANNING_DECISION,PRIMARY,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A;CN117290997A;CN119441810A;CN121929149A;CN122101237A;LU102027B1,CN121929149A,CLAIM,"1. A vehicle anthropogenic lane-changing control method of fusion prediction track, wherein it comprises : constructing a vehicle lane-changing expert track set based on the historical vehicle track data, and generating a vehicle lane-changing candidate track set by perturbation expert track end state and polynomial interpolation; extracting the track characteristics of the vehicle lane changing expert track set and the vehicle lane changing candidate track set, and combining the future track information of the environment vehicle to construct the track characteristic vector; the expert track set is used as the real sample, the candidate track set is used as the decision space, the track characteristic vector is used as the characteristic input, the anthropotropic track-changing r",FOUND,,,,
7,7_vehicle_lane_driving_lane changing,PARTIAL,ACTUATION_MECHANICS,SECONDARY,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A;CN117290997A;CN119441810A;CN121929149A;CN122101237A;LU102027B1,CN115871700A,CLAIM,"1. A method for monitoring the uncertainty of the class behavior adjustment of the trajectory planning, comprising : searching the map information and agent information of the current driving state of the main motor vehicle operated automatically; dividing the uncertainty condition affecting the track of the main motor vehicle into expected uncertainty and accidental uncertainty; calculating the expected uncertainty in the first operation branch by forming the attention area according to the identification part of the lane, the identification part of the lane may potentially conflict with the planned route of the main motor vehicle; determining the accident uncertainty in the second operation branch by calculating the abnormal score of any other vehicle in the surrounding area of the",FOUND,,,,
7,7_vehicle_lane_driving_lane changing,PARTIAL,SAFETY_MONITORING,CONTEXT_ONLY,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A;CN117290997A;CN119441810A;CN121929149A;CN122101237A;LU102027B1,CN116534055B,CLAIM,"1. An anthropomorphic trajectory optimization method based on driver individuation, wherein it comprises the following steps : S1, according to the vehicle state of the starting point of the vehicle lane-changing behaviour decision, constructing the constraint of the lane-changing track, through traversing the vehicle state of the end point of all possible lane-changing behaviour decision, generating the candidate lane-changing track; S2, constructing a maximum entropy inverse reinforcement learning model, the reward function of the maximum entropy inverse reinforcement learning model is composed of a group of basic functions, the basic function is safe from driving, the individual driving style is designed in two aspects to ensure the safety of the vehicle lane change and the i",FOUND,,,,
7,7_vehicle_lane_driving_lane changing,PARTIAL,EMERGENCY_FAILSAFE,CONTEXT_ONLY,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A;CN117290997A;CN119441810A;CN121929149A;CN122101237A;LU102027B1,,,,NO_DIRECT_EVIDENCE,,,,
7,7_vehicle_lane_driving_lane changing,PARTIAL,HRI_INTERFACE,CONTEXT_ONLY,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A;CN117290997A;CN119441810A;CN121929149A;CN122101237A;LU102027B1,LU102027B1,ABSTRACT,"The present disclosure provides an intelligent obstacle avoidance method and system of a human-robot safe interaction oriented robotic arm. The robot monitors an identification marker on the obstacle in real time through an identification marker visual positioning method to obtain the position of the obstacle; and the motion state of the obstacle is calculated through a position detection result and a position change of the obstacle, and a corresponding obstacle avoidance strategy is adopted according to the motion state of the obstacle. The present disclosure allows the robotic arm to make different obstacle avoidance strategies for obstacles in different motion states or human-body. Compared with the existing obstacle avoidance methods, the present disclosure gets rid of the limitatio",FOUND,,,,
12,12_bearing_shaft_motor_output,PARTIAL,PERCEPTION,SECONDARY,CN110666836A;CN111086022A;CN112888534B;CN112888535B;CN118636189A;CN121157000A;CN121649957A;CN210061197U;CN224183069U;JP2010069565A,CN110666836A,CLAIM,"1. The bidirectional output-for humanoid robot integrated joint, wherein the arm part comprises frameless torque motor (100), electromagnetic safe brake (200), the absolute value of the position sensor (300); the harmonic speed reducer (400), an output part (500), a bearing and a bearing frame (600), shell (700), frameless torque motor (100) comprises a motor stator (110), a motor rotor (120), a high speed motor shaft (130); wherein the motor stator (120) is installed on the inner wall of the shell (700), a motor rotor (120) is installed on the high speed motor shaft (130); the electromagnetic safe brake (200) comprises a stator body (210); the locating disc (220), sensing the brake disc (230), the outer cover (240), a shaft supporting the auxiliary structure (250), an el",FOUND,,,,
12,12_bearing_shaft_motor_output,PARTIAL,MOTION_CONTROL,SECONDARY,CN110666836A;CN111086022A;CN112888534B;CN112888535B;CN118636189A;CN121157000A;CN121649957A;CN210061197U;CN224183069U;JP2010069565A,CN110666836A,ABSTRACT,"The invention provides a two-way output arm integrated joint for a humanoid robot. The two-way output arm integrated joint is composed of a frameless torque motor, an electromagnetic safety brake, anabsolute value position sensor, a harmonic reducer, an output portion, bearings, bearing frames and a shell body. The frameless torque motor, the electromagnetic safety brake and the absolute value position sensor are mounted on a high-speed motor shaft. The harmonic reducer is connected with the high-speed motor shaft and a low-speed output shaft. The output portion is mounted on the low-speed output shaft. The bearings and the bearing frames are fixed into the shell body. A reduction gear, a sensing detection device and a braking device are integrated, and a special servo driver is a",FOUND,,,,
12,12_bearing_shaft_motor_output,PARTIAL,ACTUATION_MECHANICS,PRIMARY,CN110666836A;CN111086022A;CN112888534B;CN112888535B;CN118636189A;CN121157000A;CN121649957A;CN210061197U;CN224183069U;JP2010069565A,CN110666836A,CLAIM,"1. The bidirectional output-for humanoid robot integrated joint, wherein the arm part comprises frameless torque motor (100), electromagnetic safe brake (200), the absolute value of the position sensor (300); the harmonic speed reducer (400), an output part (500), a bearing and a bearing frame (600), shell (700), frameless torque motor (100) comprises a motor stator (110), a motor rotor (120), a high speed motor shaft (130); wherein the motor stator (120) is installed on the inner wall of the shell (700), a motor rotor (120) is installed on the high speed motor shaft (130); the electromagnetic safe brake (200) comprises a stator body (210); the locating disc (220), sensing the brake disc (230), the outer cover (240), a shaft supporting the auxiliary structure (250), an el",FOUND,,,,
12,12_bearing_shaft_motor_output,PARTIAL,SAFETY_MONITORING,CONTEXT_ONLY,CN110666836A;CN111086022A;CN112888534B;CN112888535B;CN118636189A;CN121157000A;CN121649957A;CN210061197U;CN224183069U;JP2010069565A,CN210061197U,CLAIM,"[CLAIM 1] 1. A passive safety impedance mechanism with feedback and damping, wherein the elastic device comprises bearing, comprising an outer ring and an inner ring, which is connected with the outer ring and the inner ring, for providing a damping force, a detecting device for detecting the outer ring and the inner ring relative to the rotation amount.",FOUND,,,,
12,12_bearing_shaft_motor_output,PARTIAL,EMERGENCY_FAILSAFE,SECONDARY,CN110666836A;CN111086022A;CN112888534B;CN112888535B;CN118636189A;CN121157000A;CN121649957A;CN210061197U;CN224183069U;JP2010069565A,,,,INSUFFICIENT,,,,
12,12_bearing_shaft_motor_output,PARTIAL,SYSTEM_INTEGRATION,CONTEXT_ONLY,CN110666836A;CN111086022A;CN112888534B;CN112888535B;CN118636189A;CN121157000A;CN121649957A;CN210061197U;CN224183069U;JP2010069565A,,,,NO_DIRECT_EVIDENCE,,,,
15,15_point_point cloud_cloud_map,PARTIAL,PERCEPTION,PRIMARY,CN110954100A;CN113865556B;CN114663754B;CN116147642B;CN120125755B;CN121541648B;CN121682451B;EP4114622A1;JP2009042145A;US20210276185A1,CN121541648B,CLAIM,"1. A foot-type robot target following method, wherein it comprises : performing boundary frame representation to the following target in the previous video frame collected by the foot-type robot to obtain the real-time boundary frame of the following target; matching the central point coordinate of the real-time detecting frame of the current video frame and the central point coordinate of the real-time boundary frame to obtain the following point coordinate corresponding to the current video frame; performing coordinate transformation on the following point coordinate to convert the following point coordinate to the radar coordinate system to obtain the point cloud central coordinate of the following point coordinate corresponding to the radar coordinate system; obtaining the passabl",FOUND,,,,
15,15_point_point cloud_cloud_map,PARTIAL,STATE_ESTIMATION,PRIMARY,CN110954100A;CN113865556B;CN114663754B;CN116147642B;CN120125755B;CN121541648B;CN121682451B;EP4114622A1;JP2009042145A;US20210276185A1,CN120125755B,CLAIM,"1. A building model reconstruction method based on four-foot robot and machine vision, wherein Specifically, the method includes : Step 1 (S1) : obtaining the three-dimensional point cloud data of the reconstruction area and the IMU pose data of the four-legged robot, using synchronous positioning and map construction algorithm, performing environment sensing and mapping on the reconstruction area, obtaining a global map; step S2 : based on the global map, combining the three-dimensional light tracing algorithm and A* path searching algorithm, determining the target scanning point and the corresponding scanning path, and generating the global path plan; step S3 : planning the four-foot robot to start to walk according to the generated global path, in the walking process of t",FOUND,,,,
15,15_point_point cloud_cloud_map,PARTIAL,PLANNING_DECISION,CONTEXT_ONLY,CN110954100A;CN113865556B;CN114663754B;CN116147642B;CN120125755B;CN121541648B;CN121682451B;EP4114622A1;JP2009042145A;US20210276185A1,CN120125755B,CLAIM,"1. A building model reconstruction method based on four-foot robot and machine vision, wherein Specifically, the method includes : Step 1 (S1) : obtaining the three-dimensional point cloud data of the reconstruction area and the IMU pose data of the four-legged robot, using synchronous positioning and map construction algorithm, performing environment sensing and mapping on the reconstruction area, obtaining a global map; step S2 : based on the global map, combining the three-dimensional light tracing algorithm and A* path searching algorithm, determining the target scanning point and the corresponding scanning path, and generating the global path plan; step S3 : planning the four-foot robot to start to walk according to the generated global path, in the walking process of t",FOUND,,,,
15,15_point_point cloud_cloud_map,PARTIAL,EMERGENCY_FAILSAFE,CONTEXT_ONLY,CN110954100A;CN113865556B;CN114663754B;CN116147642B;CN120125755B;CN121541648B;CN121682451B;EP4114622A1;JP2009042145A;US20210276185A1,,,,NO_DIRECT_EVIDENCE,,,,
15,15_point_point cloud_cloud_map,PARTIAL,SYSTEM_INTEGRATION,SECONDARY,CN110954100A;CN113865556B;CN114663754B;CN116147642B;CN120125755B;CN121541648B;CN121682451B;EP4114622A1;JP2009042145A;US20210276185A1,CN110954100A,CLAIM,"1. A biped robot main-based state estimation method of laser and inertial fusion, wherein the method comprises the following steps : collecting IMU data and laser data of biped robot main body; to the IMU data and the laser data to time-stamp synchronization with the pre-processing in the time-stamp synchronization after the pre-treatment, performing integration of the IMU data to obtain the integral data, at the same time, the laser data for inter-point line matching, obtaining the incremental movement change; the integration data as the state prediction input to recursive Bayesian filter, and the obtained increment motion change as the state correction and update input to the recursive Bayesian filter, the recursive Bayesian filter by comparing data input by the state predictio",FOUND,,,,
22,22_force_external force_human robot_robot,PARTIAL,PERCEPTION,SECONDARY,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A;DE102016001643B4;KR1020090056699A;KR1020260100240A;US12552034B2;WO2025005980A1,CN108297056B,CLAIM,"[CLAIM 1] 1. A human coordination robot system, which makes the robot and human shared work space and to coordinate work, wherein the human coordination robot system comprising : a first force detecting part, which detects the external force acting on the robot, and a second force detecting part, operation force which only detects the person manually operating said robot when acting on the robot, and a security ensuring the motion commanding, by the first force detecting unit detects the external force with a predetermined threshold value, when the external force greater than the predetermined threshold value. the security to make the robot to for reducing the external force direction moves or causes the robot to stop to ensure the action instruction, when the person manually ope",FOUND,,,,
22,22_force_external force_human robot_robot,PARTIAL,PLANNING_DECISION,CONTEXT_ONLY,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A;DE102016001643B4;KR1020090056699A;KR1020260100240A;US12552034B2;WO2025005980A1,WO2025005980A1,ABSTRACT,"Techniques are disclosed for task error correction for robots, such as collaborative robots (cobots). A controller of a robot may include an error detector to detect an error in a performance of a human-robot collaborative task, and an error corrector to correct the detected error. The error corrector may include a correction planner and a facilitator. The correction planner may determine an error correction plan based on the detected error. The error correction plan may include corrective subtasks to control the cobot to correct the detected error. The facilitator may determine a facilitation plan based on the determined error correction plan. The facilitation plan including an assistance subtask configured to control the cobot to assist a human operator in correcting the detected error",FOUND,,,,
22,22_force_external force_human robot_robot,PARTIAL,ACTUATION_MECHANICS,SECONDARY,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A;DE102016001643B4;KR1020090056699A;KR1020260100240A;US12552034B2;WO2025005980A1,CN108789408A,CLAIM,"[CLAIM 1] 1. A cooperative robot based on driving control integrated control system of torque sensor, wherein it comprises a central control unit and are respectively connected with the driving module, a sensing module, a communication module, a power supply module and an external equipment module; wherein the driving module is connected with the electric motor and transmitting the current information sensing module is connected with the central control unit and transmitting the analogue quantity information, communication module connected with the server and central control unit and transmitting the control instruction information, a power supply module and driving module. sensing module, and transmitting the voltage information, a central control unit connected with the drive mo",FOUND,,,,
