review_priority,bertopic_id,bertopic_name,source_subsystem,target_subsystem,evidence_type_proposal,evidence_strength_proposal,evidence_patent_number,evidence_location,source_mention,target_mention,exact_evidence_excerpt,evidence_status,evidence_selection_reason,evidence_source_file,supporting_patent_numbers,standard_clauses,rationale,human_coimplementation_decision,reviewer_confidence,reviewer_note
1,29,29_module_intelligent_service_display,EMERGENCY_FAILSAFE,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"PLANNING_DECISION <-> EMERGENCY_FAILSAFE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,29,29_module_intelligent_service_display,ACTUATION_MECHANICS,EMERGENCY_FAILSAFE,CO_IMPLEMENTATION,WEAK,CN112578716B,CLAIM,motor,emergency stop,"1. A humanoid robot control system for shoes and clothes display, comprising a power supply module, a chassis control module, a network control module, a model motion control module and a visual voice module, further comprising a PC end software system; the power supply module comprises a power supply and a power supply electric quantity display device; the chassis control module comprises an industrial computer, a chassis control plate, a laser radar, a lamp belt controller, a coulometer, an anti-collision switch, an emergency stop switch, an ultrasonic wave, an IR receiver, a motor driver and a motor; the network control module comprises a switch and a router; the visual voice module comprises a camera, a core plate, a microphone bottom plate, a microphone array, a",FOUND,BERTopic_representative,topic_summary.csv,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"ACTUATION_MECHANICS <-> EMERGENCY_FAILSAFE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,29,29_module_intelligent_service_display,EMERGENCY_FAILSAFE,HRI_INTERFACE,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"EMERGENCY_FAILSAFE <-> HRI_INTERFACE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
2,3,3_foot_robot_foot robot_leg,ACTUATION_MECHANICS,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 13482:2014 5.9,"PLANNING_DECISION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
2,7,7_vehicle_lane_driving_lane changing,PERCEPTION,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A,ISO 13482:2014 5.12;ISO 13482:2014 5.16;ISO 13482:2014 6.5,"PERCEPTION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
2,15,15_point_point cloud_cloud_map,PERCEPTION,STATE_ESTIMATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN110954100A;CN113865556B;CN114663754B;CN116147642B;CN120125755B,ISO 13482:2014 6.5;ISO 13482:2014 5.16;ISO 10218-1:2025 5.10.3,"PERCEPTION <-> STATE_ESTIMATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
2,27,27_path_navigation_obstacle_point,PERCEPTION,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN117841002A;CN120447563B;CN120886273A;CN120886273B;CN120928375B,ISO 13482:2014 5.16;ISO 13482:2014 6.5;ISO 10218-1:2025 5.10.3,"PERCEPTION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
2,29,29_module_intelligent_service_display,ACTUATION_MECHANICS,PERCEPTION,CO_IMPLEMENTATION,WEAK,CN112578716B,CLAIM,motor,radar,"1. A humanoid robot control system for shoes and clothes display, comprising a power supply module, a chassis control module, a network control module, a model motion control module and a visual voice module, further comprising a PC end software system; the power supply module comprises a power supply and a power supply electric quantity display device; the chassis control module comprises an industrial computer, a chassis control plate, a laser radar, a lamp belt controller, a coulometer, an anti-collision switch, an emergency stop switch, an ultrasonic wave, an IR receiver, a motor driver and a motor; the network control module comprises a switch and a router; the visual voice module comprises a camera, a core plate, a microphone bottom plate, a microphone array, a",FOUND,BERTopic_representative,topic_summary.csv,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"PERCEPTION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
2,33,33_path_grid_map_point,PERCEPTION,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105843222A;CN117590747A;CN119309582A;CN119469168B;CN120213071A,ISO 13482:2014 5.16;ISO 13482:2014 6.5;ISO 13482:2014 6.3,"PERCEPTION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
2,65,65_social_reasoning_instruction_remote,PERCEPTION,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN117103261B;CN120416181A;CN120572534A;CN120620231B;CN121290419A,ISO 10218-2:2025 5.3.5;ISO 10218-2:2025 5.7.6;ISO 10218-1:2025 5.5.1,"PERCEPTION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,0,0_leg_end_wheel_connected,ACTUATION_MECHANICS,PERCEPTION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 10218-2:2025 5.2.5,"PERCEPTION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,0,0_leg_end_wheel_connected,ACTUATION_MECHANICS,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 10218-2:2025 5.2.5,"ACTUATION_MECHANICS <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,1,1_humanoid robot_humanoid_joint_robot,ACTUATION_MECHANICS,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A,ISO 10218-1:2025 5.2.8;ISO 10218-1:2025 5.3;ISO 13482:2014 6,"PLANNING_DECISION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,1,1_humanoid robot_humanoid_joint_robot,ACTUATION_MECHANICS,MOTION_CONTROL,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A,ISO 10218-1:2025 5.2.8;ISO 10218-1:2025 5.3;ISO 13482:2014 6,"MOTION_CONTROL <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,1,1_humanoid robot_humanoid_joint_robot,ACTUATION_MECHANICS,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A,ISO 10218-1:2025 5.2.8;ISO 10218-1:2025 5.3;ISO 13482:2014 6,"ACTUATION_MECHANICS <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,3,3_foot_robot_foot robot_leg,PERCEPTION,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 13482:2014 5.9,"PERCEPTION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,3,3_foot_robot_foot robot_leg,ACTUATION_MECHANICS,PERCEPTION,CO_IMPLEMENTATION,WEAK,CN120295284A,ABSTRACT,actuator,force sensor,"The invention discloses a foot end trajectory motion control method of a quadruped robot based on local terrain adaptation, and relates to the field of robot motion control; the robot first classifies the current moving terrain based on the three-dimensional force sensor at the foot end of the quadruped robot and the IMU sensor of the fuselage combined with the kinematics forward solution algorithm model of the quadruped robot fuselage, and performs terrain-based adaptive control according to different terrains Calculate the slope angle of the terrain, adjust the output angle of the joint actuator to complete the adaptive control of the slope terrain, and measure the three attitude angles of the quadruped robot through the IMU sensor of the fuselage, thereby obtaining the quadruped ro",FOUND,BERTopic_representative,topic_summary.csv,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B;CN120295284A,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 13482:2014 5.9,"PERCEPTION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,3,3_foot_robot_foot robot_leg,PLANNING_DECISION,STATE_ESTIMATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 13482:2014 5.9,"STATE_ESTIMATION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,3,3_foot_robot_foot robot_leg,ACTUATION_MECHANICS,STATE_ESTIMATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 13482:2014 5.9,"STATE_ESTIMATION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,3,3_foot_robot_foot robot_leg,MOTION_CONTROL,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 13482:2014 5.9,"PLANNING_DECISION <-> MOTION_CONTROL: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,3,3_foot_robot_foot robot_leg,ACTUATION_MECHANICS,MOTION_CONTROL,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN107045552B;CN116339362B;CN117182904B;CN118061197B;CN119328772B,ISO 10218-1:2025 5.1.5;ISO 13482:2014 6.6;ISO 13482:2014 5.9,"MOTION_CONTROL <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,7,7_vehicle_lane_driving_lane changing,PERCEPTION,STATE_ESTIMATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A,ISO 13482:2014 5.12;ISO 13482:2014 5.16;ISO 13482:2014 6.5,"PERCEPTION <-> STATE_ESTIMATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,7,7_vehicle_lane_driving_lane changing,ACTUATION_MECHANICS,PERCEPTION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A,ISO 13482:2014 5.12;ISO 13482:2014 5.16;ISO 13482:2014 6.5,"PERCEPTION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,7,7_vehicle_lane_driving_lane changing,PLANNING_DECISION,STATE_ESTIMATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A,ISO 13482:2014 5.12;ISO 13482:2014 5.16;ISO 13482:2014 6.5,"STATE_ESTIMATION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,7,7_vehicle_lane_driving_lane changing,ACTUATION_MECHANICS,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN101439733B;CN115871700A;CN116424368B;CN116534055B;CN117133096A,ISO 13482:2014 5.12;ISO 13482:2014 5.16;ISO 13482:2014 6.5,"PLANNING_DECISION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,12,12_bearing_shaft_motor_output,ACTUATION_MECHANICS,PERCEPTION,CO_IMPLEMENTATION,WEAK,CN111086022A,CLAIM,motor,torque sensor,"1. integrated joint, wherein it comprises a shell, a motor assembly, the motor shaft comprising a rotatably mounted on said shell, decelerator, which is driven by the motor shaft, and an output element connected with the decelerator and driven to rotate by the decelerator; a first bearing that supports the output end of said decelerator on the housing; a torque sensor connected with the decelerator and the output piece for detecting the torque of the output piece; and a drive plate, which is connected with the motor assembly. the torque sensor is electrically connected.",FOUND,random_seed_sample,humanoid_safety_patents_v5_clean.xlsx,CN110666836A;CN111086022A;CN112888534B;CN112888535B;CN118636189A,ISO 10218-1:2025 5.3.4;IEC 61508-2:2010 Annex A;ISO 10218-1:2025 5.1.2,"PERCEPTION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,12,12_bearing_shaft_motor_output,ACTUATION_MECHANICS,MOTION_CONTROL,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN110666836A;CN111086022A;CN112888534B;CN112888535B;CN118636189A,ISO 10218-1:2025 5.3.4;IEC 61508-2:2010 Annex A;ISO 10218-1:2025 5.1.2,"MOTION_CONTROL <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,15,15_point_point cloud_cloud_map,PERCEPTION,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN110954100A;CN113865556B;CN114663754B;CN116147642B;CN120125755B,ISO 13482:2014 6.5;ISO 13482:2014 5.16;ISO 10218-1:2025 5.10.3,"PERCEPTION <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,15,15_point_point cloud_cloud_map,STATE_ESTIMATION,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN110954100A;CN113865556B;CN114663754B;CN116147642B;CN120125755B,ISO 13482:2014 6.5;ISO 13482:2014 5.16;ISO 10218-1:2025 5.10.3,"STATE_ESTIMATION <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,22,22_force_external force_human robot_robot,HRI_INTERFACE,PERCEPTION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"PERCEPTION <-> HRI_INTERFACE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,22,22_force_external force_human robot_robot,ACTUATION_MECHANICS,HRI_INTERFACE,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"ACTUATION_MECHANICS <-> HRI_INTERFACE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,22,22_force_external force_human robot_robot,HRI_INTERFACE,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"HRI_INTERFACE <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,27,27_path_navigation_obstacle_point,PERCEPTION,STATE_ESTIMATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN117841002A;CN120447563B;CN120886273A;CN120886273B;CN120928375B,ISO 13482:2014 5.16;ISO 13482:2014 6.5;ISO 10218-1:2025 5.10.3,"PERCEPTION <-> STATE_ESTIMATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,27,27_path_navigation_obstacle_point,PERCEPTION,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN117841002A;CN120447563B;CN120886273A;CN120886273B;CN120928375B,ISO 13482:2014 5.16;ISO 13482:2014 6.5;ISO 10218-1:2025 5.10.3,"PERCEPTION <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,27,27_path_navigation_obstacle_point,PLANNING_DECISION,STATE_ESTIMATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN117841002A;CN120447563B;CN120886273A;CN120886273B;CN120928375B,ISO 13482:2014 5.16;ISO 13482:2014 6.5;ISO 10218-1:2025 5.10.3,"STATE_ESTIMATION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,27,27_path_navigation_obstacle_point,PLANNING_DECISION,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN117841002A;CN120447563B;CN120886273A;CN120886273B;CN120928375B,ISO 13482:2014 5.16;ISO 13482:2014 6.5;ISO 10218-1:2025 5.10.3,"PLANNING_DECISION <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,28,28_tobacco_robotic_operation_shelf,PERCEPTION,STATE_ESTIMATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN118544362B;CN120717223A;CN120717223B;CN121403406A;CN121973246A,ISO 10218-2:2025 5.12.1;ISO 10218-2:2025 5.12.3,"PERCEPTION <-> STATE_ESTIMATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,28,28_tobacco_robotic_operation_shelf,ACTUATION_MECHANICS,PERCEPTION,CO_IMPLEMENTATION,WEAK,CN118544362B,CLAIM,actuator,force sensor,"1. A human-guided visual-force fusion mechanical arm impedance iterative learning control method, wherein the method comprises the following steps : S100 : obtaining the coordinate conversion relation between the camera carried on the actuator at the tail end of the mechanical arm and the tail end of the mechanical arm by hand-eye calibration, solving the coordinate relation between the six-dimensional force sensor and the tail end of the mechanical arm by geometric relation; S200 : according to the coordinate conversion relation between the camera and the mechanical arm end, deducing the visual servo acceleration model, combining the human-mechanical arm interactive dynamic equation and the coordinate conversion relation between the mechanical arm end and the six-dimensional force",FOUND,BERTopic_representative,topic_summary.csv,CN118544362B;CN120717223A;CN120717223B;CN121403406A;CN121973246A,ISO 10218-2:2025 5.12.1;ISO 10218-2:2025 5.12.3,"PERCEPTION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,28,28_tobacco_robotic_operation_shelf,HRI_INTERFACE,PERCEPTION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN118544362B;CN120717223A;CN120717223B;CN121403406A;CN121973246A,ISO 10218-2:2025 5.12.1;ISO 10218-2:2025 5.12.3,"PERCEPTION <-> HRI_INTERFACE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,28,28_tobacco_robotic_operation_shelf,PERCEPTION,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN118544362B;CN120717223A;CN120717223B;CN121403406A;CN121973246A,ISO 10218-2:2025 5.12.1;ISO 10218-2:2025 5.12.3,"PERCEPTION <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,29,29_module_intelligent_service_display,PERCEPTION,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"PERCEPTION <-> PLANNING_DECISION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,29,29_module_intelligent_service_display,HRI_INTERFACE,PERCEPTION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"PERCEPTION <-> HRI_INTERFACE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,29,29_module_intelligent_service_display,ACTUATION_MECHANICS,PLANNING_DECISION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"PLANNING_DECISION <-> ACTUATION_MECHANICS: CO_IMPLEMENTATION (undirected, same topic patents)",,,
3,29,29_module_intelligent_service_display,ACTUATION_MECHANICS,HRI_INTERFACE,CO_IMPLEMENTATION,WEAK,CN113858158A,ABSTRACT,motor,remote controller,"The invention relates to a network robot, Network robot already robot network, The robot network is constructed with network robot, belongs to the field of robot, Smart phone, a triaxial tripod head stabilizer, a replaceable expansion cover plate, a network camera, an intelligent sound box, a display screen, a mechanical arm, a bearing shell, a traveling mechanism, a driving motor, a speed reducer, a remote control and driving module, an expansion frame, a mechanical telescopic transmission mechanism, a control end smartphone, a remote controller, a sensor, a ground grasping support mechanism, an automatic navigation and control module, a dual-mode router and the like. fully utilizing social resources, A robot network is established under the support of a 5G high-sp",FOUND,random_seed_sample,humanoid_safety_patents_v5_clean.xlsx,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"ACTUATION_MECHANICS <-> HRI_INTERFACE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
