item_no,topic_id,topic_label,rep_patent_numbers,rep_patent_titles,rep_abstract_excerpts,human_safety_judgment,human_harm_link,cascade_role,plausible_cascade_path,scope_limitation,reviewer_confidence,reviewer_note
11,74,74_target_foot_state data_landing,HK40071432B;CN114474034B;EP4116782A1;WO2022089195A1;WO2022048472A1;EP4144487C0;EP4144487B1;CN112051797B;CN121704503A,,,,,,,,,
12,29,29_module_intelligent_service_display,CN112578716B;CN104375417B;CN113858158A;CN103759734A;TW201634200A;CN215252430U;CN106891338A;KR200435980Y1;CN122260507A,,"1. A humanoid robot control system for shoes and clothes display, comprising a power supply module, a chassis control module, a network control module, a model motion control module and a visual voice module, further comprising a PC end software system; the power supply module comprises a power supply and a power supply electric quantity display device; the chassis control module comprises an industrial computer, a chassis control plate, a laser radar, a lamp belt controller, a coulometer, an anti-collision switch, an emergency stop switch, an ultrasonic wave, an IR receiver, a motor driver and a motor; the network control module comprises a switch and a router; the visual voice module comprises a camera, a core plate, a microphone bottom plate, a microphone array, a",,,,,,,
13,46,46_module_signal_household_internet things,CN119169783A;CN120108106A;TWM544079U;TWI629668B;IN202641062477A,A personal safety protection method and system ||| A resident alarm anti-false triggering method of intelligent door lock and intelligent door lock ||| Smart protection monitoring device and companion animal protection monitoring device ||| Pet-protection monitoring device ||| EMERGENCY HUMANOID SYSTEM (EHS) FOR AUTONOMOUS EMERGENCY DETECTION AND ALERT COMMUNICATION IN NETWORK-LIMITED ENVIRONMENTS,"CN119169783A | The invention relates to the technical field of safety protection, and discloses a personal safety protection method and a personal safety protection system. The personal safety protection method comprises the following steps of : responding to an emergency help function triggered by a user intellig ||| CN120108106A | The invention discloses a resident alarm anti-false triggering method of an intelligent door lock, which includes : 1. Detecting the movement of objects outside the door through microwave radar; 2. When the microwave radar detects the signal change, start the camera to capture the image; 3. Determin ||| TWM544079U | The creation is to reveal a intelligent protection monitoring device and companion animal protection monitoring device, which is set for the subject matter to be protected. Intelligent protection monitoring device comprises a plurality of sensing module, a memory module, a processing module and a pr ||| TWI629668B | Disclosure is a pet-protection monitoring device, configured to be around a desire-to-protect pet or an ambient environment thereof. The pet-protection monitoring device comprises a first sensing module, a storage module, a processing module and a protector. The first sensing module senses a circumf ||| IN202641062477A | The present invention relates to an Emergency Humanoid System (EHS) designed to detect emergency situations and automatically transmit distress alerts to nearby individuals or registered contacts. The system integrates a mobile application platform with multiple sensor modules including acceleromete",,,,,,,
14,33,33_path_grid_map_point,CN120742904B;CN119469168B;CN117590747A;CN120909299A;CN119309582A;CN120213071A;CN121783173A;CN105843222A;CN122258922A,,"1. A four-foot robot obstacle avoidance control method based on path planning, wherein The method comprises the following steps : obtaining environmental point cloud data, image data and motion speed data of a four-foot robot, generating semantic point cloud data by performing terrain semantic segmentation and semantic pixel back projection on the image data, and combining the semantic point cloud data with the motion compensated environmental point cloud data to construct a semantic marking grid map; performing global path search on the semantic annotation grid map to generate a global smooth path; when the four-foot robot travels along the global smooth path, the path node on the global smooth path is extracted with a fixed step distance, and the terrain type and the grid occupi",,,,,,,
15,7,7_vehicle_lane_driving_lane changing,CN121929149A;CN119441810A;CN116424368B;CN115871700A;CN116534055B;CN117133096A;CN117290997A;LU102027B1;CN101439733B;CN122101237A,,"1. A human-like driving track evaluation and generation method, wherein it comprises the following steps : S1, constructing a driving track data set THAD; S2, constructing the deep characteristic mapping between the vehicle state-track and the corresponding human class based on the comparison network, training the class evaluator for accurately evaluating the state-track human class degree; S3, combining the level evaluator with the enhanced learning, using the level evaluator to train the driving reward signal provided for the enhanced learning to generate a track generator of safe and human-like driving track.",,,,,,,
16,40,40_wheel_leg_wheel leg_wheel legged,CN119024875B;CN116774713A;CN101982809B;CN112975978B;CN121756299A;CN118056744A,,"1. A balance control method of wheel-leg type robot, wherein the wheel-leg type robot is simplified into n-order inverted pendulum model, the n-order inverted pendulum model comprises : wheels, n connecting rods and n rotating joints, the wheel and the first connecting rod in the n connecting rods are connected through the first rotating joint in the n rotating joints, the n connecting rod is connected through n-1 rotating joints except the first rotating joint in series, the first connecting rod is the equivalent connecting rod corresponding to at least two leg mechanisms of the wheel-leg robot, the wheel is the equivalent moving wheel corresponding to the moving wheel respectively connected with at least two leg mechanisms, n is a positive integer greater than or equal to 2; Th",,,,,,,
17,18,18_plate_bridge_ladder_rod,CN106628812A;CN108119054A;CN120844896A;CN217579666U;CN102996151B,Pulling device applied to pipe turnover plate frame ||| Herringbone ladder device for construction wall decoration ||| An anti-toppling humanoid ladder ||| The utility model relates to a humanoid road surface brick laying device for municipal engineering ||| A DH is less than 1.8 [...] work with space method and device,"CN106628812A | A pulling device for a pipe comprises a supporting frame. The supporting frame comprises an upper frame and a bottom frame. A base is arranged at the lower end of the upper frame. A hydraulic cylinder is fixedly arranged on the base. A pulling mechanism is connected to the upper end surface of the h ||| CN108119054A | The invention discloses a herringbone ladder device for construction wall decoration. The herringbone ladder device comprises a ladder beam, a top plate, a hinge, a toolbox device, a pedal, a counterweight box, a rubber seat, a supporting rod, a movable bolt, a rotating shaft, a motor, a pull belt,  ||| CN120844896A | The invention discloses an anti-toppling human-shaped ladder, which includes a load-bearing component; and mounting components distributed on the bearing components in a trapezoid shape And, a first adjusting component arranged on one side of the mounting component and a moving component arranged in ||| CN217579666U | The utility model relates to the technical field of municipal engineering, disclosed is a humanoid road surface brick laying device for municipal engineering, comprises an equipment body, a bottom plate, a first limiting frame, a second limiting frame, a first push plate and a second push plate, the ||| CN102996151B | The invention relates to the technical field of mining bracket devices, and discloses a method and a device for increasing a working space of a working face under a shaft lower than 1.8m. The device comprises a V-shaped pedal, round bar steel, and a connecting plate. Both ends of the V-shaped pedal ",,,,,,,
18,36,36_welding_welding robot_straightening_mechanical,CN112077879A;CN209598939U;CN222857136U;CN120551670A;CN118081207B,Detection method for mechanical property of whole working area of rotating shaft based on humanoid soft finger ||| Humanoid tool test station ||| A welding device for frameless motor for joint of humanoid robot ||| A humanoid welding robot device and method based on dual robotic arm collaboration ||| A wire feeding and straightening integrated welding gun device for humanoid welding robot,"CN112077879A | The invention discloses a detection method for the mechanical property of a whole working area of a rotating shaft based on a humanoid soft finger. The humanoid soft finger, a mechanical arm and an angle sensor are utilized to achieve the mechanical property detection of the whole working area of th ||| CN209598939U | According to the humanoid tool test station, a flattening and polishing platform comprises a polishing table, a fixing block and a correlation switch. The cutter feeding device comprises a base, a movable table, a power assembly and an organ protective cover. The movable table is matched with the sl ||| CN222857136U | The utility model discloses a welding device of a frameless motor for a humanoid robot joint Including annular PCB board, a card slot is provided on the side of the PCB board Also includes a bracket, the bracket includes a top ring, a bottom ring, a connecting arm, and a reinforcing arm The top ring ||| CN120551670A | The invention relates to a humanoid welding robot device and method based on dual robotic arm collaboration. The device includes an arm module, a head module, a trunk module, a moving module, a control system, a laser centering device and a protective gas device; the device is mainly applied to an a ||| CN118081207B | The invention provides a wire feeding and straightening integrated welding gun device for a humanoid welding robot, which includes a welding gun main body, a welding wire reel frame, a wire feeding mechanism assembly, a straightening mechanism assembly and a main controller; the welding wire reel fr",,,,,,,
19,57,57_strategy_training_network_strategy network,CN121492057B;CN122343461A;IN202421052346A;CN121403422A;CN121200037B,"Robot motion control strategy network training method,  robot motion control method,  device,  equipment,  robot and storage medium based on deep reinforcement learning ||| Training method,  control method and equipment of robot control model ||| HIERARCHICAL REINFORCEMENT LEARNING SYSTEM WITH TRANSFERABLE KNOWLEDLGE MODULES FOR AUTONOMOUS DECISION-MAKING IN ROBOTICS ||| Robot motion control strategy network training method,  robot motion control method,  device,  equipment,  robot and storage medium based on imitation learning ||| Robot arm motion control strategy network training method and device based on deep reinforcement learning","CN121492057B | The present disclosure provides a deep reinforcement learning-based robot motion control strategy network training method, robot motion control method, device, equipment, robot and storage medium, and relates to the field of robot technology. This disclosure predicts future hidden states by utilizin ||| CN122343461A | The invention provides a training method, a control method and equipment of a robot control model, and relates to the technical field of robot control. The method comprises the following steps of : generating teacher strategy information of a current time step by adopting a preset teacher strategy m ||| IN202421052346A | The titled invention ""hierarchical reinforcement learning system with transferable knowledge modules for autonomous decision-making in robotics"" offers a robust framework for autonomous decision-making in robotics, enabling efficient learning, adaptability, and versatility in handling complex tasks. ||| CN121403422A | The present disclosure provides a robot motion control strategy network training method, robot motion control method, device, equipment, robot and storage medium based on imitation learning, and relates to the field of robot technology. This disclosure maintains action anthropomorphic features throu ||| CN121200037B | The present disclosure provides a deep reinforcement learning-based robot arm motion control strategy network training method and device, which relates to the field of sensor and robot technology. The method comprises the following steps of : acquiring a Jacobian submatrix corresponding to a robot a",,,,,,,
20,53,53_image_detection_human_target,CN116778672A;CN110427740A;CN113378762B;TWI725524B;CN115965993A,"The invention relates to an infant drowning early warning method and system ||| Encryption method and system ||| Intelligent sitting posture monitoring method,  device,  equipment and storage medium ||| Human condition detection device ||| The invention relates to a tracking,  identifying and monitoring system and method based on thermal image","CN116778672A | The infant drowning early warning method includes receiving monitored video image sequence, forming at least one block according to color classification, and judging whether the at least one block is humanoid and infant. Determining at least one infant as target, tracking, locating and predicting sw ||| CN110427740A | The invention is applicable to the technical field of encryption, and particularly relates to an encryption method and system. The encryption method comprises the following steps : identifying iris, palmprint and facial features of a human body, outputting an identification success signal after all  ||| CN113378762B | The invention belongs to the technical field of image processing, and provides an intelligent sitting posture monitoring method, device, equipment and a storage medium. The intelligent sitting posture monitoring method, device, equipment and the storage medium solve the technical problems that an ex ||| TWI725524B | The present invention disclosed a human condition detection device, including a depth image capturing module that captures images at a target area to obtain a depth image, a thermal imaging capturing module that captures images at a target area to obtain a thermal image, a millimeter wave radar modu ||| CN115965993A | The invention relates to a tracking, identifying and monitoring system and method based on thermal image. The system includes at least one monitoring host and one monitoring background. The monitoring host computer is used in ward, bathroom, toilet, special office or work place, etc. to be monitored",,,,,,,
21,73,73_power_supply_power supply_battery,CN108683243A;CN119297485B;CN113675824B;CN119297485A;EP3827934A1,"Power management system and method for motor-driven four-legged robot ||| A battery protection system for quadruped robot ||| Motor overload protection method and device,  storage medium and electronic device ||| A battery protection system for quadruped robot ||| COMPUTER PROGRAM PRODUCT ROBOT AND METHOD FOR CONTROLLING A ROBOT","CN108683243A | The invention discloses a power management system and method for a motor-driven four-legged robot. The system comprises a battery pack, a battery management board and a voltage regulator board connected in sequence; the battery pack is used for powering a motor-driven four-legged robot; the battery  ||| CN119297485B | The invention discloses a battery protection system for a quadruped robot Involving the field of robot technology, the system can utilize the real-time monitoring function of the temperature sensor In order to obtain the current temperature data of the battery and the environment in real time, and c ||| CN113675824B | This application provides a motor overload protection method and device, a storage medium and an electronic device. The above method includes : detecting a hot start of a target motor of a multi-legged robot; determining an initial temperature value of the target motor according to a temperature det ||| CN119297485A | The invention discloses a battery protection system for a quadruped robot Involving the field of robot technology, the system can utilize the real-time monitoring function of the temperature sensor In order to obtain the current temperature data of the battery and the environment in real time, and c ||| EP3827934A1 | Method for controlling a robot (10) comprising at least one end effector (14), in particular in the region of the mensch-robot collaborations, comprising the steps of : a) designates (S302) of a force expected value (M(m) q + R(q, q) + w(m) - τ=Rin the end effector (14) or with respect thereto in de",,,,,,,
22,0,0_leg_end_wheel_connected,CN119503044A;CN116215692B;CN116142349A;CN109733500A;CN116607905A;CN112429112A;CN116946390B;CN115609629B;CN201020717Y;CN122324149A,,"1. A wheel-leg type robot based on stable control technology, wherein it comprises : a fixed frame; a control box mounted on the fixed frame; an obstacle avoiding detection module, a signal receiving module, an IMU module and a controller, which are all installed in the control box; a power supply mounted on the fixed frame; a pair of leg connecting rod mechanisms symmetrically arranged under the fixed framework; each leg connecting rod mechanism comprises a front servo motor, a rear servo motor and a connecting rod mechanism; the connecting rod mechanism comprises a first connecting rod mechanism and a second connecting rod mechanism, the first connecting rod mechanism comprises a front upper end connecting rod connected with the output of the front servo motor and a front lo",,,,,,,
23,21,21_decision_semantic information_semantic_information,IN202421012725A;CN112559052B;US20250335253A1;CN121842253A;US20260010411A1,"SYSTEM AND METHOD FOR VOICE CONTROLLED ROBOT ||| Instruction set calling method,  device,  terminal and storage medium ||| SYSTEMS AND METHODS FOR COMPUTING FEATURING SYNTHETIC COMPUTING OPERATORS AND COLLABORATION ||| Digital human integrated machine for property service scene and multi-modal interaction method ||| Symbolic Neuromorphic AI Chip for EEG-Guided,  Consent-Aware Wearable Devices","IN202421012725A | ABSTRACT VOICE CONTROLLED ROBOT The integration of smart devices and robotics has revolutionized human-robot interaction, shaping various industries and daily life. The project aims to design and implement a compact mobile robot capable of executing voice commands, identifying specified targets, and ||| CN112559052B | The invention discloses an instruction set calling method, device, terminal and storage medium, which detects the size of instruction set to be analyzed and RAM available space; The instruction set calling strategy is adjusted according to the size relationship between the instruction set to be anal ||| US20250335253A1 | One embodiment is directed to a synthetic engagement system for process-based problem solving, comprising : a computing system comprising one or more operatively coupled computing resources; and a user interface operated by the computing system and configured to engage a human operator in accordance ||| CN121842253A | The invention belongs to the technical field of intelligent property and digital interaction, and discloses a digital man-in-one machine oriented to a property service scene and a multi-modal interaction method The invention adopts a cloud-edge-end collaborative architecture, and constructs a full-s ||| US20260010411A1 | This invention discloses a compact, wearable symbolic AI processor integrating neuromorphic EEG decoding, symbolic execution, and intention-aware ethics enforcement. The chip enables ultra-low-latency interpretation of biometric and environmental data into symbolic primitives, supporting AGI-level r",,,,,,,
24,32,32_action_data_sequence_motion,CN106078752B;CN121132640B;CN122008250A;CN119610085A;CN121552445B;CN122353572A;KR101460140B1;CN121704883B,,"[CLAIM 1] 1. A humanoid robot based on human behaviour simulating method of Kinect, based on the collected from the Kinect RGB-D image extracted from the human framework information, constructing the motion model of human movement chain, and mapping the operation to the robot motion model in real time, the real-time action imitate the continuous image sequence, starting and ending time point of the human-action are contained in the image sequence is unknown, by mapping model and a balance control mechanism the feature is that it includes the following step : 1) establishing collecting motion data, the motion data processing and joint configuration of three modules, the action data collecting module is responsible for constructing human body action of the abstract model, the motio",,,,,,,
25,56,56_information pairs_pairs_ml_spatial,CN119478439B;US12159453B2;IN202121048303A;CN112733592A;CA3251393A1,Multi-dimensional code intelligent analysis method and system for processing results based on visual information ||| System and method for ontology guided indoor scene understanding for cognitive robotic tasks ||| SYSTEM AND METHOD FOR ONTOLOGY GUIDED INDOOR SCENE UNDERSTANDING FOR COGNITIVE ROBOTIC TASKS ||| Power transmission line image identification method ||| ARTIFICIAL INTELLIGENCE SYSTEM BASED ON SPATIAL-TEMPORAL INFORMATION PAIRS,"CN119478439B | The invention discloses a multi-dimensional code intelligent analysis method and system for processing results based on visual information, which aims to simulate the rapid understanding and recognition process of human beings on complex scenes. The method encodes multi-dimensional scene grid inform ||| US12159453B2 | Existing cognitive robotic applications follow a practice of building specific applications for specific use cases. However, the knowledge of the world and the semantics are common for a robot for multiple tasks. In this disclosure, to enable usage of knowledge across multiple scenarios, a method an ||| IN202121048303A | Existing cognitive robotic applications follow a practice of building specific applications for specific use cases. However, the knowledge of the world and the semantics are common for a robot for multiple tasks. In this disclosure, to enable usage of knowledge across multiple scenarios, a method an ||| CN112733592A | The invention discloses a power transmission line image recognition method. The method comprises the steps of collecting a power transmission line equipment image; roughly identifying the acquired power transmission line image by using a Mask R-CNN method; constructing a correction mechanism to corr ||| CA3251393A1 | An artificial intelligence system based on spatial-temporal information pairs is provided by the present disclosure. By integrally deploying paired vision, auditory and olfactory acquisition devices, a device that can collect the data within a 720-degree area is constructed, and the multi-dimensiona",,,,,,,
26,68,68_animation_bone_skeleton_digital,EP1748391A2;WO2024150796A1;WO2010057897A1;CN121746555A;VN10042832000B,"Three-dimensional animation of soft tissue of characters using controls associated with a surface mesh ||| CONTROL DEVICE,  CONTROL METHOD AND PROGRAM ||| MANUFACTURING VIDEO GRAPHICS ||| Digital character animation control method,  modeling method,  equipment and storage medium ||| SYSTEM AND METHOD FOR SIMULATING REAL-TIME INTERACTION BETWEEN CLOTHING AND BODY","EP1748391A2 | A face, as well as any other soft tissue of a character, can be animated much in the same way that a skeleton is animated by creating a soft tissue solver attached to the surface mesh. In particular, deformation objects are associated with regions of the surface mesh. The deformation objects deform  ||| WO2024150796A1 | This control device is provided with : a motion detection unit that generates first motion information in which a motion of a first operator is detected; a motion acquisition unit that acquires, from a storage unit, second motion information in which a motion of a second operator is recorded; a moti ||| WO2010057897A1 | An apparatus comprising : a memory system storing a plurality of sequences, each sequence comprising data for reproducing a different pattern of interactions between a respective plurality of moving characters and storing a combination data structure defining for each sequence connectability of that ||| CN121746555A | The invention discloses a digital character animation control method, a modeling method, equipment and a storage medium The method comprises the following steps of : acquiring an animation switching instruction corresponding to a digital character, wherein the animation switching instruction compris ||| VN10042832000B | The invention relates to a system and method for simulating the interaction between clothing and the human body in real time using a surface deformation method and a nonlinear physical model. The proposed system and method allow for the digital construction of the interaction between a clothing mode",,,,,,,
27,14,14_training_target_target body_plate,CN205125477U;CN207115987U;CN205659320U;CN107331250A;CN216497372U,Foldable type table -tennis table ||| A humanoid physical learning wooden drum ||| Bionical many function synthesis fitness training ware ||| A demonstration gene mutation probability of teaching aid ||| The utility model relates to a countermeasure sea pile with a pressure relief structure for basketball training,"CN205125477U | The utility model discloses a foldable type table -tennis table, including desktop, humanoid support and connecting plate, the desktop is equipped with two, be provided with the hinge between the desktop, the desktop passes through hinge interconnect, be provided with the table net on the hinge, tab ||| CN207115987U | The utility model relates to a humanoid physical learning wooden drum, comprises a top plate, side plate, against the panel, the bottom plate and the back plate, is arranged on the back pipes; the top plate and the bottom U-shaped plate is, in the two sides of the U-shaped plate and the U shaped gro ||| CN205659320U | The utility model discloses a bionical many function synthesis fitness training ware is imitative humanoid and deformable many function synthesis fitness training ware. Humanoid appearance comprises chassis training institution, humanoid body and supplementary training accessory, and the body includ ||| CN107331250A | The present invention relates to the technical field of science education, in particular to a demonstration gene mutation probability of teaching aid, includes an exhibition and is set at the rotation mechanism in the states unfolds the frame, the rotating mechanism includes a turntable, the round s ||| CN216497372U | The utility model discloses a countermeasure sea pile with a pressure relief structure for basketball training. The countermeasure sea pile comprises a mounting base, wherein the mounting base is fixed on the surface of a training field; the top of the mounting base is in threaded connection with a ",,,,,,,
28,22,22_force_external force_human robot_robot,DE102016001643B4;CN108297056B;CN108297056A;US12552034B2;CN108789408A;CN107765686A;CN105690383A;WO2025005980A1;KR1020090056699A;KR1020260100240A,,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation command section compares a value obtained by subtracting the operating force detected by the secon",,,,,,,
