trial_id,condition,speed,delay_ms,offset_m,seed,rescue_c1,rescue_c2,c3_fault,exec_order
T0044,C0,0.15,0.0,0.0,2044,False,False,False,215
T0045,C0,0.15,0.0,0.0,2045,False,False,False,519
T0046,C0,0.15,0.0,0.0,2046,False,False,False,1695
T0047,C0,0.15,0.0,0.0,2047,False,False,False,1981
T0048,C0,0.15,0.0,0.0,2048,False,False,False,169
T0049,C0,0.15,0.0,0.0,2049,False,False,False,1608
T0050,C0,0.3,0.0,0.0,2000,False,False,False,2140
T0051,C0,0.3,0.0,0.0,2001,False,False,False,37
T0052,C0,0.3,0.0,0.0,2002,False,False,False,3144
T0053,C0,0.3,0.0,0.0,2003,False,False,False,3224
T0054,C0,0.3,0.0,0.0,2004,False,False,False,1429
T0055,C0,0.3,0.0,0.0,2005,False,False,False,43
T0056,C0,0.3,0.0,0.0,2006,False,False,False,1437
T0057,C0,0.3,0.0,0.0,2007,False,False,False,1728
T0058,C0,0.3,0.0,0.0,2008,False,False,False,709
T0059,C0,0.3,0.0,0.0,2009,False,False,False,1415
T0060,C0,0.3,0.0,0.0,2010,False,False,False,41
T0061,C0,0.3,0.0,0.0,2011,False,False,False,3000
T0062,C0,0.3,0.0,0.0,2012,False,False,False,1991
T0063,C0,0.3,0.0,0.0,2013,False,False,False,1532
T0064,C0,0.3,0.0,0.0,2014,False,False,False,345
T0065,C0,0.3,0.0,0.0,2015,False,False,False,493
T0066,C0,0.3,0.0,0.0,2016,False,False,False,701
T0067,C0,0.3,0.0,0.0,2017,False,False,False,574
T0068,C0,0.3,0.0,0.0,2018,False,False,False,1319
T0069,C0,0.3,0.0,0.0,2019,False,False,False,1128
T0070,C0,0.3,0.0,0.0,2020,False,False,False,2544
T0071,C0,0.3,0.0,0.0,2021,False,False,False,469
T0072,C0,0.3,0.0,0.0,2022,False,False,False,730
T0073,C0,0.3,0.0,0.0,2023,False,False,False,1039
T0074,C0,0.3,0.0,0.0,2024,False,False,False,515
T0075,C0,0.3,0.0,0.0,2025,False,False,False,2158
T0076,C0,0.3,0.0,0.0,2026,False,False,False,2914
T0077,C0,0.3,0.0,0.0,2027,False,False,False,516
T0078,C0,0.3,0.0,0.0,2028,False,False,False,1030
T0079,C0,0.3,0.0,0.0,2029,False,False,False,2379
T0080,C0,0.3,0.0,0.0,2030,False,False,False,2188
T0081,C0,0.3,0.0,0.0,2031,False,False,False,817
T0082,C0,0.3,0.0,0.0,2032,False,False,False,3060
T0083,C0,0.3,0.0,0.0,2033,False,False,False,3214
T0084,C0,0.3,0.0,0.0,2034,False,False,False,1516
T0085,C0,0.3,0.0,0.0,2035,False,False,False,2759
T0086,C0,0.3,0.0,0.0,2036,False,False,False,1827
T0087,C0,0.3,0.0,0.0,2037,False,False,False,1443
T0088,C0,0.3,0.0,0.0,2038,False,False,False,108
T0089,C0,0.3,0.0,0.0,2039,False,False,False,617
T0090,C0,0.3,0.0,0.0,2040,False,False,False,2634
T0091,C0,0.3,0.0,0.0,2041,False,False,False,2602
T0092,C0,0.3,0.0,0.0,2042,False,False,False,3038
T0093,C0,0.3,0.0,0.0,2043,False,False,False,388
T0094,C0,0.3,0.0,0.0,2044,False,False,False,1762
T0095,C0,0.3,0.0,0.0,2045,False,False,False,554
T0096,C0,0.3,0.0,0.0,2046,False,False,False,2575
T0097,C0,0.3,0.0,0.0,2047,False,False,False,102
T0098,C0,0.3,0.0,0.0,2048,False,False,False,357
T0099,C0,0.3,0.0,0.0,2049,False,False,False,1552
T0100,C0,0.45,0.0,0.0,2000,False,False,False,2037
T0101,C0,0.45,0.0,0.0,2001,False,False,False,1866
T0102,C0,0.45,0.0,0.0,2002,False,False,False,1922
T0103,C0,0.45,0.0,0.0,2003,False,False,False,268
T0104,C0,0.45,0.0,0.0,2004,False,False,False,2700
T0105,C0,0.45,0.0,0.0,2005,False,False,False,301
T0106,C0,0.45,0.0,0.0,2006,False,False,False,1261
T0107,C0,0.45,0.0,0.0,2007,False,False,False,2795
T0108,C0,0.45,0.0,0.0,2008,False,False,False,1433
T0109,C0,0.45,0.0,0.0,2009,False,False,False,783
T0110,C0,0.45,0.0,0.0,2010,False,False,False,715
T0111,C0,0.45,0.0,0.0,2011,False,False,False,2468
T0112,C0,0.45,0.0,0.0,2012,False,False,False,1939
T0113,C0,0.45,0.0,0.0,2013,False,False,False,1805
T0114,C0,0.45,0.0,0.0,2014,False,False,False,2029
T0115,C0,0.45,0.0,0.0,2015,False,False,False,1520
T0116,C0,0.45,0.0,0.0,2016,False,False,False,96
T0117,C0,0.45,0.0,0.0,2017,False,False,False,444
T0118,C0,0.45,0.0,0.0,2018,False,False,False,954
T0119,C0,0.45,0.0,0.0,2019,False,False,False,2273
T0120,C0,0.45,0.0,0.0,2020,False,False,False,2913
T0121,C0,0.45,0.0,0.0,2021,False,False,False,1
T0122,C0,0.45,0.0,0.0,2022,False,False,False,1147
T0123,C0,0.45,0.0,0.0,2023,False,False,False,1355
T0124,C0,0.45,0.0,0.0,2024,False,False,False,1346
T0125,C0,0.45,0.0,0.0,2025,False,False,False,1402
T0126,C0,0.45,0.0,0.0,2026,False,False,False,2523
T0127,C0,0.45,0.0,0.0,2027,False,False,False,380
T0128,C0,0.45,0.0,0.0,2028,False,False,False,2514
T0129,C0,0.45,0.0,0.0,2029,False,False,False,936
T0130,C0,0.45,0.0,0.0,2030,False,False,False,527
T0131,C0,0.45,0.0,0.0,2031,False,False,False,425
T0132,C0,0.45,0.0,0.0,2032,False,False,False,601
T0133,C0,0.45,0.0,0.0,2033,False,False,False,3045
T0134,C0,0.45,0.0,0.0,2034,False,False,False,1814
T0135,C0,0.45,0.0,0.0,2035,False,False,False,3226
T0136,C0,0.45,0.0,0.0,2036,False,False,False,53
T0137,C0,0.45,0.0,0.0,2037,False,False,False,1113
T0138,C0,0.45,0.0,0.0,2038,False,False,False,2216
T0139,C0,0.45,0.0,0.0,2039,False,False,False,1566
T0140,C0,0.45,0.0,0.0,2040,False,False,False,439
T0141,C0,0.45,0.0,0.0,2041,False,False,False,2786
T0142,C0,0.45,0.0,0.0,2042,False,False,False,2792
T0143,C0,0.45,0.0,0.0,2043,False,False,False,698
T0144,C0,0.45,0.0,0.0,2044,False,False,False,2630
T0145,C0,0.45,0.0,0.0,2045,False,False,False,1918
T0146,C0,0.45,0.0,0.0,2046,False,False,False,139
T0147,C0,0.45,0.0,0.0,2047,False,False,False,1559
T0148,C0,0.45,0.0,0.0,2048,False,False,False,2993
T0149,C0,0.45,0.0,0.0,2049,False,False,False,2546
T0150,C1,0.15,25.0,0.0,2000,False,False,False,2112
T0151,C1,0.15,25.0,0.0,2001,False,False,False,150
T0152,C1,0.15,25.0,0.0,2002,False,False,False,784
T0153,C1,0.15,25.0,0.0,2003,False,False,False,2268
T0154,C1,0.15,25.0,0.0,2004,False,False,False,1212
T0155,C1,0.15,25.0,0.0,2005,False,False,False,880
T0156,C1,0.15,25.0,0.0,2006,False,False,False,1595
T0157,C1,0.15,25.0,0.0,2007,False,False,False,1328
T0158,C1,0.15,25.0,0.0,2008,False,False,False,2729
T0159,C1,0.15,25.0,0.0,2009,False,False,False,376
T0160,C1,0.15,25.0,0.0,2010,False,False,False,2682
T0161,C1,0.15,25.0,0.0,2011,False,False,False,1174
T0162,C1,0.15,25.0,0.0,2012,False,False,False,1945
T0163,C1,0.15,25.0,0.0,2013,False,False,False,675
T0164,C1,0.15,25.0,0.0,2014,False,False,False,2840
T0165,C1,0.15,25.0,0.0,2015,False,False,False,893
T0166,C1,0.15,25.0,0.0,2016,False,False,False,2659
T0167,C1,0.15,25.0,0.0,2017,False,False,False,107
T0168,C1,0.15,25.0,0.0,2018,False,False,False,1876
T0169,C1,0.15,25.0,0.0,2019,False,False,False,1120
T0170,C1,0.15,25.0,0.0,2020,False,False,False,537
T0171,C1,0.15,25.0,0.0,2021,False,False,False,1787
T0172,C1,0.15,25.0,0.0,2022,False,False,False,1271
T0173,C1,0.15,25.0,0.0,2023,False,False,False,262
T0174,C1,0.15,25.0,0.0,2024,False,False,False,533
T0175,C1,0.15,25.0,0.0,2025,False,False,False,1738
T0176,C1,0.15,25.0,0.0,2026,False,False,False,706
T0177,C1,0.15,25.0,0.0,2027,False,False,False,2734
T0178,C1,0.15,25.0,0.0,2028,False,False,False,1885
T0179,C1,0.15,25.0,0.0,2029,False,False,False,1569
T0180,C1,0.15,25.0,0.0,2030,False,False,False,1667
T0181,C1,0.15,25.0,0.0,2031,False,False,False,2831
T0182,C1,0.15,25.0,0.0,2032,False,False,False,1308
T0183,C1,0.15,25.0,0.0,2033,False,False,False,2570
T0184,C1,0.15,25.0,0.0,2034,False,False,False,1531
T0185,C1,0.15,25.0,0.0,2035,False,False,False,293
T0186,C1,0.15,25.0,0.0,2036,False,False,False,1607
T0187,C1,0.15,25.0,0.0,2037,False,False,False,2631
T0188,C1,0.15,25.0,0.0,2038,False,False,False,1614
T0189,C1,0.15,25.0,0.0,2039,False,False,False,1397
T0190,C1,0.15,25.0,0.0,2040,False,False,False,1353
T0191,C1,0.15,25.0,0.0,2041,False,False,False,1998
T0192,C1,0.15,25.0,0.0,2042,False,False,False,34
T0193,C1,0.15,25.0,0.0,2043,False,False,False,903
T0194,C1,0.15,25.0,0.0,2044,False,False,False,2855
T0195,C1,0.15,25.0,0.0,2045,False,False,False,1227
T0196,C1,0.15,25.0,0.0,2046,False,False,False,33
T0197,C1,0.15,25.0,0.0,2047,False,False,False,855
T0198,C1,0.15,25.0,0.0,2048,False,False,False,2346
T0199,C1,0.15,25.0,0.0,2049,False,False,False,465
T0200,C1,0.15,50.0,0.0,2000,False,False,False,89
T0201,C1,0.15,50.0,0.0,2001,False,False,False,1865
T0202,C1,0.15,50.0,0.0,2002,False,False,False,703
T0203,C1,0.15,50.0,0.0,2003,False,False,False,1894
T0204,C1,0.15,50.0,0.0,2004,False,False,False,933
T0205,C1,0.15,50.0,0.0,2005,False,False,False,2580
T0206,C1,0.15,50.0,0.0,2006,False,False,False,1245
T0207,C1,0.15,50.0,0.0,2007,False,False,False,136
T0208,C1,0.15,50.0,0.0,2008,False,False,False,2103
T0209,C1,0.15,50.0,0.0,2009,False,False,False,2426
T0210,C1,0.15,50.0,0.0,2010,False,False,False,1598
T0211,C1,0.15,50.0,0.0,2011,False,False,False,929
T0212,C1,0.15,50.0,0.0,2012,False,False,False,2804
T0213,C1,0.15,50.0,0.0,2013,False,False,False,2269
T0214,C1,0.15,50.0,0.0,2014,False,False,False,1106
T0215,C1,0.15,50.0,0.0,2015,False,False,False,2932
T0216,C1,0.15,50.0,0.0,2016,False,False,False,611
T0217,C1,0.15,50.0,0.0,2017,False,False,False,163
T0218,C1,0.15,50.0,0.0,2018,False,False,False,2055
T0219,C1,0.15,50.0,0.0,2019,False,False,False,1722
T0220,C1,0.15,50.0,0.0,2020,False,False,False,2520
T0221,C1,0.15,50.0,0.0,2021,False,False,False,240
T0222,C1,0.15,50.0,0.0,2022,False,False,False,178
T0223,C1,0.15,50.0,0.0,2023,False,False,False,637
T0224,C1,0.15,50.0,0.0,2024,False,False,False,2858
T0225,C1,0.15,50.0,0.0,2025,False,False,False,2701
T0226,C1,0.15,50.0,0.0,2026,False,False,False,2754
T0227,C1,0.15,50.0,0.0,2027,False,False,False,1347
T0228,C1,0.15,50.0,0.0,2028,False,False,False,922
T0229,C1,0.15,50.0,0.0,2029,False,False,False,1076
T0230,C1,0.15,50.0,0.0,2030,False,False,False,3074
T0231,C1,0.15,50.0,0.0,2031,False,False,False,1231
T0232,C1,0.15,50.0,0.0,2032,False,False,False,2087
T0233,C1,0.15,50.0,0.0,2033,False,False,False,3277
T0234,C1,0.15,50.0,0.0,2034,False,False,False,2317
T0235,C1,0.15,50.0,0.0,2035,False,False,False,2862
T0236,C1,0.15,50.0,0.0,2036,False,False,False,1135
T0237,C1,0.15,50.0,0.0,2037,False,False,False,447
T0238,C1,0.15,50.0,0.0,2038,False,False,False,1473
T0239,C1,0.15,50.0,0.0,2039,False,False,False,2049
T0240,C1,0.15,50.0,0.0,2040,False,False,False,3018
T0241,C1,0.15,50.0,0.0,2041,False,False,False,3201
T0242,C1,0.15,50.0,0.0,2042,False,False,False,2628
T0243,C1,0.15,50.0,0.0,2043,False,False,False,1897
T0244,C1,0.15,50.0,0.0,2044,False,False,False,351
T0245,C1,0.15,50.0,0.0,2045,False,False,False,2125
T0246,C1,0.15,50.0,0.0,2046,False,False,False,1133
T0247,C1,0.15,50.0,0.0,2047,False,False,False,1623
T0248,C1,0.15,50.0,0.0,2048,False,False,False,2492
T0249,C1,0.15,50.0,0.0,2049,False,False,False,2818
T0250,C1,0.15,75.0,0.0,2000,False,False,False,2779
T0251,C1,0.15,75.0,0.0,2001,False,False,False,3093
T0252,C1,0.15,75.0,0.0,2002,False,False,False,1837
T0253,C1,0.15,75.0,0.0,2003,False,False,False,138
T0254,C1,0.15,75.0,0.0,2004,False,False,False,1274
T0255,C1,0.15,75.0,0.0,2005,False,False,False,2888
T0256,C1,0.15,75.0,0.0,2006,False,False,False,508
T0257,C1,0.15,75.0,0.0,2007,False,False,False,575
T0258,C1,0.15,75.0,0.0,2008,False,False,False,1369
T0259,C1,0.15,75.0,0.0,2009,False,False,False,3096
T0260,C1,0.15,75.0,0.0,2010,False,False,False,2702
T0261,C1,0.15,75.0,0.0,2011,False,False,False,424
T0262,C1,0.15,75.0,0.0,2012,False,False,False,2900
T0263,C1,0.15,75.0,0.0,2013,False,False,False,2412
T0264,C1,0.15,75.0,0.0,2014,False,False,False,799
T0265,C1,0.15,75.0,0.0,2015,False,False,False,1957
T0266,C1,0.15,75.0,0.0,2016,False,False,False,2244
T0267,C1,0.15,75.0,0.0,2017,False,False,False,1151
T0268,C1,0.15,75.0,0.0,2018,False,False,False,618
T0269,C1,0.15,75.0,0.0,2019,False,False,False,1284
T0270,C1,0.15,75.0,0.0,2020,False,False,False,597
T0271,C1,0.15,75.0,0.0,2021,False,False,False,1293
T0272,C1,0.15,75.0,0.0,2022,False,False,False,681
T0273,C1,0.15,75.0,0.0,2023,False,False,False,2195
T0274,C1,0.15,75.0,0.0,2024,False,False,False,2375
T0275,C1,0.15,75.0,0.0,2025,False,False,False,3052
T0276,C1,0.15,75.0,0.0,2026,False,False,False,146
T0277,C1,0.15,75.0,0.0,2027,False,False,False,1515
T0278,C1,0.15,75.0,0.0,2028,False,False,False,2107
T0279,C1,0.15,75.0,0.0,2029,False,False,False,1087
T0280,C1,0.15,75.0,0.0,2030,False,False,False,1484
T0281,C1,0.15,75.0,0.0,2031,False,False,False,1924
T0282,C1,0.15,75.0,0.0,2032,False,False,False,2332
T0283,C1,0.15,75.0,0.0,2033,False,False,False,2300
T0284,C1,0.15,75.0,0.0,2034,False,False,False,2168
T0285,C1,0.15,75.0,0.0,2035,False,False,False,3241
T0286,C1,0.15,75.0,0.0,2036,False,False,False,2794
T0287,C1,0.15,75.0,0.0,2037,False,False,False,664
T0288,C1,0.15,75.0,0.0,2038,False,False,False,2912
T0289,C1,0.15,75.0,0.0,2039,False,False,False,1461
T0290,C1,0.15,75.0,0.0,2040,False,False,False,68
T0291,C1,0.15,75.0,0.0,2041,False,False,False,1518
T0292,C1,0.15,75.0,0.0,2042,False,False,False,1724
T0293,C1,0.15,75.0,0.0,2043,False,False,False,2011
T0294,C1,0.15,75.0,0.0,2044,False,False,False,518
T0295,C1,0.15,75.0,0.0,2045,False,False,False,2969
T0296,C1,0.15,75.0,0.0,2046,False,False,False,434
T0297,C1,0.15,75.0,0.0,2047,False,False,False,2547
T0298,C1,0.15,75.0,0.0,2048,False,False,False,1395
T0299,C1,0.15,75.0,0.0,2049,False,False,False,487
T0300,C1,0.15,100.0,0.0,2000,False,False,False,2351
T0301,C1,0.15,100.0,0.0,2001,False,False,False,657
T0302,C1,0.15,100.0,0.0,2002,False,False,False,2624
T0303,C1,0.15,100.0,0.0,2003,False,False,False,438
T0304,C1,0.15,100.0,0.0,2004,False,False,False,2006
T0305,C1,0.15,100.0,0.0,2005,False,False,False,15
T0306,C1,0.15,100.0,0.0,2006,False,False,False,2339
T0307,C1,0.15,100.0,0.0,2007,False,False,False,1923
T0308,C1,0.15,100.0,0.0,2008,False,False,False,839
T0309,C1,0.15,100.0,0.0,2009,False,False,False,3147
T0310,C1,0.15,100.0,0.0,2010,False,False,False,2498
T0311,C1,0.15,100.0,0.0,2011,False,False,False,2377
T0312,C1,0.15,100.0,0.0,2012,False,False,False,2664
T0313,C1,0.15,100.0,0.0,2013,False,False,False,456
T0314,C1,0.15,100.0,0.0,2014,False,False,False,2133
T0315,C1,0.15,100.0,0.0,2015,False,False,False,1583
T0316,C1,0.15,100.0,0.0,2016,False,False,False,1797
T0317,C1,0.15,100.0,0.0,2017,False,False,False,1909
T0318,C1,0.15,100.0,0.0,2018,False,False,False,74
T0319,C1,0.15,100.0,0.0,2019,False,False,False,1960
T0320,C1,0.15,100.0,0.0,2020,False,False,False,1040
T0321,C1,0.15,100.0,0.0,2021,False,False,False,427
T0322,C1,0.15,100.0,0.0,2022,False,False,False,2458
T0323,C1,0.15,100.0,0.0,2023,False,False,False,2886
T0324,C1,0.15,100.0,0.0,2024,False,False,False,1575
T0325,C1,0.15,100.0,0.0,2025,False,False,False,1114
T0326,C1,0.15,100.0,0.0,2026,False,False,False,562
T0327,C1,0.15,100.0,0.0,2027,False,False,False,1495
T0328,C1,0.15,100.0,0.0,2028,False,False,False,3209
T0329,C1,0.15,100.0,0.0,2029,False,False,False,2893
T0330,C1,0.15,100.0,0.0,2030,False,False,False,2347
T0331,C1,0.15,100.0,0.0,2031,False,False,False,3164
T0332,C1,0.15,100.0,0.0,2032,False,False,False,1459
T0333,C1,0.15,100.0,0.0,2033,False,False,False,2191
T0334,C1,0.15,100.0,0.0,2034,False,False,False,3285
T0335,C1,0.15,100.0,0.0,2035,False,False,False,1880
T0336,C1,0.15,100.0,0.0,2036,False,False,False,2272
T0337,C1,0.15,100.0,0.0,2037,False,False,False,955
T0338,C1,0.15,100.0,0.0,2038,False,False,False,1119
T0339,C1,0.15,100.0,0.0,2039,False,False,False,2059
T0340,C1,0.15,100.0,0.0,2040,False,False,False,1784
T0341,C1,0.15,100.0,0.0,2041,False,False,False,1676
T0342,C1,0.15,100.0,0.0,2042,False,False,False,2600
T0343,C1,0.15,100.0,0.0,2043,False,False,False,1235
T0344,C1,0.15,100.0,0.0,2044,False,False,False,3124
T0345,C1,0.15,100.0,0.0,2045,False,False,False,885
T0346,C1,0.15,100.0,0.0,2046,False,False,False,431
T0347,C1,0.15,100.0,0.0,2047,False,False,False,2126
T0348,C1,0.15,100.0,0.0,2048,False,False,False,1399
T0349,C1,0.15,100.0,0.0,2049,False,False,False,1242
T0350,C1,0.15,150.0,0.0,2000,False,False,False,1391
T0351,C1,0.15,150.0,0.0,2001,False,False,False,2441
T0352,C1,0.15,150.0,0.0,2002,False,False,False,3184
T0353,C1,0.15,150.0,0.0,2003,False,False,False,230
T0354,C1,0.15,150.0,0.0,2004,False,False,False,30
T0355,C1,0.15,150.0,0.0,2005,False,False,False,670
T0356,C1,0.15,150.0,0.0,2006,False,False,False,349
T0357,C1,0.15,150.0,0.0,2007,False,False,False,3086
T0358,C1,0.15,150.0,0.0,2008,False,False,False,2088
T0359,C1,0.15,150.0,0.0,2009,False,False,False,2023
T0360,C1,0.15,150.0,0.0,2010,False,False,False,736
T0361,C1,0.15,150.0,0.0,2011,False,False,False,2883
T0362,C1,0.15,150.0,0.0,2012,False,False,False,2470
T0363,C1,0.15,150.0,0.0,2013,False,False,False,602
T0364,C1,0.15,150.0,0.0,2014,False,False,False,1902
T0365,C1,0.15,150.0,0.0,2015,False,False,False,225
T0366,C1,0.15,150.0,0.0,2016,False,False,False,442
T0367,C1,0.15,150.0,0.0,2017,False,False,False,2947
T0368,C1,0.15,150.0,0.0,2018,False,False,False,1166
T0369,C1,0.15,150.0,0.0,2019,False,False,False,2119
T0370,C1,0.15,150.0,0.0,2020,False,False,False,2449
T0371,C1,0.15,150.0,0.0,2021,False,False,False,1420
T0372,C1,0.15,150.0,0.0,2022,False,False,False,2654
T0373,C1,0.15,150.0,0.0,2023,False,False,False,3054
T0374,C1,0.15,150.0,0.0,2024,False,False,False,663
T0375,C1,0.15,150.0,0.0,2025,False,False,False,2301
T0376,C1,0.15,150.0,0.0,2026,False,False,False,851
T0377,C1,0.15,150.0,0.0,2027,False,False,False,938
T0378,C1,0.15,150.0,0.0,2028,False,False,False,1043
T0379,C1,0.15,150.0,0.0,2029,False,False,False,1447
T0380,C1,0.15,150.0,0.0,2030,False,False,False,2880
T0381,C1,0.15,150.0,0.0,2031,False,False,False,2149
T0382,C1,0.15,150.0,0.0,2032,False,False,False,2318
T0383,C1,0.15,150.0,0.0,2033,False,False,False,3165
T0384,C1,0.15,150.0,0.0,2034,False,False,False,739
T0385,C1,0.15,150.0,0.0,2035,False,False,False,1980
T0386,C1,0.15,150.0,0.0,2036,False,False,False,1850
T0387,C1,0.15,150.0,0.0,2037,False,False,False,1241
T0388,C1,0.15,150.0,0.0,2038,False,False,False,234
T0389,C1,0.15,150.0,0.0,2039,False,False,False,1591
T0390,C1,0.15,150.0,0.0,2040,False,False,False,1358
T0391,C1,0.15,150.0,0.0,2041,False,False,False,2219
T0392,C1,0.15,150.0,0.0,2042,False,False,False,409
T0393,C1,0.15,150.0,0.0,2043,False,False,False,2944
T0394,C1,0.15,150.0,0.0,2044,False,False,False,1618
T0395,C1,0.15,150.0,0.0,2045,False,False,False,1610
T0396,C1,0.15,150.0,0.0,2046,False,False,False,843
T0397,C1,0.15,150.0,0.0,2047,False,False,False,1719
T0398,C1,0.15,150.0,0.0,2048,False,False,False,2436
T0399,C1,0.15,150.0,0.0,2049,False,False,False,1101
T0400,C1,0.15,200.0,0.0,2000,False,False,False,1758
T0401,C1,0.15,200.0,0.0,2001,False,False,False,622
T0402,C1,0.15,200.0,0.0,2002,False,False,False,290
T0403,C1,0.15,200.0,0.0,2003,False,False,False,2415
T0404,C1,0.15,200.0,0.0,2004,False,False,False,2443
T0405,C1,0.15,200.0,0.0,2005,False,False,False,3287
T0406,C1,0.15,200.0,0.0,2006,False,False,False,1253
T0407,C1,0.15,200.0,0.0,2007,False,False,False,2460
T0408,C1,0.15,200.0,0.0,2008,False,False,False,2823
T0409,C1,0.15,200.0,0.0,2009,False,False,False,1799
T0410,C1,0.15,200.0,0.0,2010,False,False,False,2241
T0411,C1,0.15,200.0,0.0,2011,False,False,False,1672
T0412,C1,0.15,200.0,0.0,2012,False,False,False,951
T0413,C1,0.15,200.0,0.0,2013,False,False,False,1145
T0414,C1,0.15,200.0,0.0,2014,False,False,False,1052
T0415,C1,0.15,200.0,0.0,2015,False,False,False,1606
T0416,C1,0.15,200.0,0.0,2016,False,False,False,302
T0417,C1,0.15,200.0,0.0,2017,False,False,False,2956
T0418,C1,0.15,200.0,0.0,2018,False,False,False,321
T0419,C1,0.15,200.0,0.0,2019,False,False,False,1580
T0420,C1,0.15,200.0,0.0,2020,False,False,False,2031
T0421,C1,0.15,200.0,0.0,2021,False,False,False,678
T0422,C1,0.15,200.0,0.0,2022,False,False,False,3017
T0423,C1,0.15,200.0,0.0,2023,False,False,False,821
T0424,C1,0.15,200.0,0.0,2024,False,False,False,105
T0425,C1,0.15,200.0,0.0,2025,False,False,False,760
T0426,C1,0.15,200.0,0.0,2026,False,False,False,502
T0427,C1,0.15,200.0,0.0,2027,False,False,False,1548
T0428,C1,0.15,200.0,0.0,2028,False,False,False,3037
T0429,C1,0.15,200.0,0.0,2029,False,False,False,2894
T0430,C1,0.15,200.0,0.0,2030,False,False,False,143
T0431,C1,0.15,200.0,0.0,2031,False,False,False,2882
T0432,C1,0.15,200.0,0.0,2032,False,False,False,1014
T0433,C1,0.15,200.0,0.0,2033,False,False,False,2745
T0434,C1,0.15,200.0,0.0,2034,False,False,False,894
T0435,C1,0.15,200.0,0.0,2035,False,False,False,2447
T0436,C1,0.15,200.0,0.0,2036,False,False,False,543
T0437,C1,0.15,200.0,0.0,2037,False,False,False,3269
T0438,C1,0.15,200.0,0.0,2038,False,False,False,897
T0439,C1,0.15,200.0,0.0,2039,False,False,False,299
T0440,C1,0.15,200.0,0.0,2040,False,False,False,2259
T0441,C1,0.15,200.0,0.0,2041,False,False,False,1085
T0442,C1,0.15,200.0,0.0,2042,False,False,False,853
T0443,C1,0.15,200.0,0.0,2043,False,False,False,873
T0444,C1,0.15,200.0,0.0,2044,False,False,False,1864
T0445,C1,0.15,200.0,0.0,2045,False,False,False,2552
T0446,C1,0.15,200.0,0.0,2046,False,False,False,2721
T0447,C1,0.15,200.0,0.0,2047,False,False,False,3135
T0448,C1,0.15,200.0,0.0,2048,False,False,False,1244
T0449,C1,0.15,200.0,0.0,2049,False,False,False,140
T0450,C1,0.3,25.0,0.0,2000,False,False,False,1357
T0451,C1,0.3,25.0,0.0,2001,False,False,False,133
