"doc_id","split"
180,"train"
181,"train"
182,"train"
183,"train"
184,"test"
185,"test"
186,"test"
187,"train"
188,"train"
189,"train"
190,"train"
191,"train"
192,"train"
193,"train"
194,"train"
195,"train"
196,"train"
197,"train"
198,"train"
199,"train"
200,"train"
201,"test"
202,"train"
203,"test"
204,"test"
205,"train"
206,"test"
207,"train"
208,"train"
209,"test"
210,"train"
211,"train"
212,"train"
213,"test"
214,"train"
215,"test"
216,"test"
217,"train"
218,"train"
219,"train"
220,"train"
221,"train"
222,"train"
223,"train"
224,"train"
225,"train"
226,"train"
227,"train"
228,"train"
229,"train"
230,"train"
231,"train"
232,"test"
233,"train"
234,"test"
235,"test"
236,"test"
237,"train"
238,"train"
239,"train"
240,"test"
241,"train"
242,"train"
243,"train"
244,"train"
245,"test"
246,"test"
247,"test"
248,"train"
249,"test"
250,"train"
251,"test"
252,"train"
253,"train"
254,"train"
255,"test"
256,"train"
257,"test"
258,"train"
259,"test"
260,"train"
261,"train"
262,"train"
263,"train"
264,"test"
265,"train"
266,"train"
267,"train"
268,"train"
269,"test"
270,"train"
271,"train"
272,"train"
273,"train"
274,"test"
275,"train"
276,"train"
277,"train"
278,"train"
279,"train"
280,"test"
281,"train"
282,"train"
283,"train"
284,"train"
285,"train"
286,"train"
287,"train"
288,"test"
289,"train"
290,"train"
291,"train"
292,"train"
293,"train"
294,"train"
295,"train"
296,"train"
297,"train"
298,"train"
299,"train"
300,"test"
301,"test"
302,"test"
303,"train"
304,"test"
305,"train"
306,"test"
307,"train"
308,"train"
309,"train"
310,"train"
311,"train"
312,"train"
313,"test"
314,"test"
315,"train"
316,"train"
317,"train"
318,"train"
319,"train"
320,"train"
321,"train"
322,"train"
323,"train"
324,"train"
325,"test"
326,"test"
327,"train"
328,"train"
329,"test"
330,"train"
331,"test"
332,"test"
333,"train"
334,"train"
335,"test"
336,"train"
337,"train"
338,"train"
339,"test"
340,"train"
341,"train"
342,"train"
343,"train"
344,"train"
345,"train"
346,"train"
347,"train"
348,"train"
349,"test"
350,"train"
351,"train"
352,"test"
353,"test"
354,"train"
355,"train"
356,"train"
357,"test"
358,"test"
359,"train"
360,"train"
361,"test"
362,"train"
363,"test"
364,"train"
365,"test"
366,"train"
367,"test"
368,"test"
369,"train"
370,"train"
371,"train"
372,"test"
373,"train"
374,"test"
375,"train"
376,"test"
377,"train"
378,"test"
379,"train"
380,"train"
381,"train"
382,"train"
383,"train"
384,"train"
385,"train"
386,"train"
387,"train"
388,"train"
389,"train"
390,"train"
391,"train"
392,"train"
393,"train"
394,"test"
395,"train"
396,"train"
397,"train"
398,"train"
399,"test"
400,"train"
401,"train"
402,"test"
403,"train"
404,"train"
405,"train"
406,"test"
407,"test"
408,"train"
409,"test"
410,"test"
411,"test"
412,"test"
413,"train"
414,"train"
415,"train"
416,"test"
417,"train"
418,"train"
419,"train"
420,"train"
421,"train"
422,"train"
423,"train"
424,"train"
425,"train"
426,"train"
427,"train"
428,"train"
429,"train"
430,"train"
431,"train"
432,"train"
433,"train"
434,"train"
435,"train"
436,"test"
437,"train"
438,"train"
439,"test"
440,"test"
441,"test"
442,"train"
443,"test"
444,"train"
445,"test"
446,"train"
447,"train"
448,"test"
449,"test"
450,"train"
451,"train"
452,"train"
453,"train"
454,"train"
455,"test"
456,"test"
457,"train"
458,"test"
459,"test"
460,"train"
461,"train"
462,"test"
463,"test"
464,"train"
465,"train"
466,"train"
467,"train"
468,"train"
469,"train"
470,"train"
471,"train"
472,"test"
473,"test"
474,"train"
475,"test"
476,"train"
477,"test"
478,"test"
479,"train"
480,"test"
481,"train"
482,"test"
483,"train"
484,"test"
485,"test"
486,"train"
487,"test"
488,"train"
489,"train"
490,"train"
491,"train"
492,"train"
493,"train"
494,"train"
495,"test"
496,"train"
497,"test"
498,"test"
499,"train"
500,"test"
501,"train"
502,"train"
503,"train"
504,"train"
505,"train"
506,"train"
507,"train"
508,"test"
509,"train"
510,"train"
511,"train"
512,"test"
513,"test"
514,"train"
515,"train"
516,"test"
517,"test"
518,"test"
519,"test"
520,"train"
521,"train"
522,"train"
523,"train"
524,"test"
525,"train"
526,"train"
527,"test"
528,"test"
529,"train"
530,"train"
531,"train"
532,"test"
533,"train"
534,"train"
535,"train"
536,"train"
537,"train"
538,"train"
539,"train"
540,"test"
541,"train"
542,"train"
543,"train"
544,"test"
545,"test"
546,"train"
547,"train"
548,"train"
549,"train"
550,"train"
551,"test"
552,"test"
553,"test"
554,"train"
555,"train"
556,"train"
557,"test"
558,"train"
559,"test"
560,"test"
561,"train"
562,"train"
563,"test"
564,"train"
565,"train"
566,"train"
567,"train"
568,"train"
569,"train"
570,"test"
571,"train"
572,"test"
573,"test"
574,"train"
575,"test"
576,"train"
577,"train"
578,"train"
579,"train"
580,"train"
581,"test"
582,"test"
583,"test"
584,"train"
585,"test"
586,"train"
587,"test"
588,"train"
589,"train"
590,"test"
591,"test"
592,"train"
593,"train"
594,"train"
595,"train"
596,"train"
597,"train"
598,"train"
599,"test"
600,"train"
601,"train"
602,"train"
603,"test"
604,"train"
605,"train"
606,"train"
607,"test"
608,"train"
609,"train"
610,"train"
611,"train"
612,"train"
613,"train"
614,"train"
615,"train"
616,"train"
617,"train"
618,"train"
619,"train"
620,"train"
621,"train"
622,"train"
623,"train"
624,"train"
625,"train"
626,"train"
627,"train"
628,"train"
629,"test"
630,"train"
631,"train"
632,"test"
633,"train"
634,"train"
635,"train"
636,"test"
637,"train"
638,"train"
639,"test"
640,"train"
641,"train"
642,"train"
643,"test"
644,"test"
645,"train"
646,"train"
647,"train"
648,"test"
649,"test"
650,"test"
651,"train"
652,"train"
653,"train"
654,"train"
655,"train"
656,"test"
657,"test"
658,"train"
659,"train"
660,"train"
661,"test"
662,"train"
663,"test"
664,"train"
665,"train"
666,"train"
667,"train"
668,"train"
669,"test"
670,"train"
671,"train"
672,"test"
673,"train"
674,"train"
675,"train"
676,"train"
677,"train"
678,"train"
679,"train"
680,"train"
681,"train"
682,"train"
683,"train"
684,"train"
685,"train"
686,"train"
687,"train"
688,"test"
689,"train"
690,"test"
691,"train"
692,"train"
693,"train"
694,"train"
695,"train"
696,"test"
697,"train"
698,"train"
699,"train"
700,"test"
701,"train"
702,"train"
703,"test"
704,"train"
705,"test"
706,"train"
707,"train"
708,"train"
709,"test"
710,"train"
711,"train"
712,"train"
713,"test"
714,"test"
715,"test"
716,"train"
717,"train"
718,"train"
719,"train"
720,"test"
721,"train"
722,"train"
723,"train"
724,"train"
725,"test"
726,"train"
727,"train"
728,"train"
729,"train"
730,"train"
731,"test"
732,"train"
733,"train"
734,"train"
735,"test"
736,"train"
737,"test"
738,"train"
739,"test"
740,"train"
741,"test"
742,"train"
743,"train"
744,"train"
745,"test"
746,"train"
747,"test"
748,"train"
749,"train"
750,"train"
751,"train"
752,"train"
753,"train"
754,"train"
755,"test"
756,"train"
757,"test"
758,"test"
759,"test"
760,"train"
761,"train"
762,"train"
763,"train"
764,"train"
765,"train"
766,"train"
767,"train"
768,"test"
769,"test"
770,"train"
771,"train"
772,"train"
773,"test"
774,"test"
775,"train"
776,"train"
777,"train"
778,"train"
779,"train"
780,"train"
781,"test"
782,"test"
783,"train"
784,"test"
785,"test"
786,"test"
787,"test"
788,"train"
789,"train"
790,"train"
791,"train"
792,"train"
793,"train"
794,"test"
795,"train"
796,"train"
797,"train"
798,"train"
799,"train"
800,"train"
801,"train"
802,"train"
803,"train"
804,"train"
805,"train"
806,"train"
807,"train"
808,"test"
809,"train"
810,"test"
811,"test"
812,"train"
813,"train"
814,"train"
815,"train"
816,"test"
817,"train"
818,"train"
819,"test"
820,"train"
821,"train"
822,"train"
823,"train"
824,"train"
825,"train"
826,"test"
827,"test"
828,"train"
829,"train"
830,"train"
831,"train"
832,"train"
833,"train"
834,"train"
835,"train"
836,"train"
837,"train"
838,"train"
839,"test"
840,"train"
841,"test"
842,"train"
843,"test"
844,"train"
845,"test"
846,"train"
847,"train"
848,"train"
849,"train"
850,"train"
851,"train"
852,"train"
853,"train"
854,"train"
855,"train"
856,"train"
857,"train"
858,"train"
859,"test"
860,"test"
861,"test"
862,"train"
863,"train"
864,"train"
865,"test"
866,"train"
867,"test"
868,"train"
869,"test"
870,"test"
871,"train"
872,"train"
873,"test"
874,"train"
875,"train"
876,"test"
877,"train"
878,"train"
879,"train"
880,"test"
881,"train"
882,"train"
883,"train"
884,"test"
885,"train"
886,"test"
887,"test"
888,"train"
889,"train"
890,"test"
891,"test"
892,"train"
893,"train"
894,"train"
895,"train"
896,"train"
897,"train"
898,"train"
899,"test"
900,"test"
901,"test"
902,"train"
903,"train"
904,"test"
905,"test"
906,"test"
907,"train"
908,"train"
909,"train"
910,"train"
911,"train"
912,"train"
913,"test"
914,"test"
915,"train"
916,"train"
917,"train"
918,"train"
919,"train"
920,"train"
921,"test"
922,"test"
923,"train"
924,"train"
925,"train"
926,"train"
927,"train"
928,"train"
929,"train"
930,"train"
931,"test"
932,"train"
933,"test"
934,"test"
935,"train"
936,"test"
937,"test"
938,"test"
939,"test"
940,"train"
941,"test"
942,"train"
943,"train"
944,"train"
945,"train"
946,"train"
947,"train"
948,"train"
949,"train"
950,"test"
951,"train"
952,"test"
953,"test"
954,"train"
955,"test"
956,"train"
957,"test"
958,"train"
959,"train"
960,"train"
961,"test"
962,"test"
963,"train"
964,"train"
965,"test"
966,"train"
967,"test"
968,"train"
969,"train"
970,"train"
971,"train"
972,"train"
973,"train"
974,"train"
975,"train"
976,"test"
977,"train"
978,"train"
979,"test"
980,"train"
981,"test"
982,"train"
983,"train"
984,"train"
985,"test"
986,"train"
987,"train"
988,"train"
989,"train"
990,"train"
991,"train"
992,"train"
993,"test"
994,"test"
995,"train"
996,"test"
997,"train"
998,"train"
999,"train"
1000,"train"
1001,"test"
1002,"train"
1003,"train"
1004,"test"
1005,"train"
1006,"train"
1007,"test"
1008,"train"
1009,"train"
1010,"train"
1011,"test"
1012,"train"
1013,"train"
1014,"test"
1015,"train"
1016,"train"
1017,"train"
1018,"train"
1019,"train"
1020,"train"
1021,"train"
1022,"test"
1023,"train"
1024,"train"
1025,"train"
1026,"test"
1027,"train"
1028,"train"
1029,"train"
1030,"train"
1031,"test"
1032,"train"
1033,"train"
1034,"train"
1035,"train"
1036,"train"
1037,"test"
1038,"train"
1039,"test"
1040,"train"
1041,"test"
1042,"test"
1043,"train"
1044,"train"
1045,"train"
1046,"train"
1047,"test"
1048,"train"
1049,"train"
1050,"train"
1051,"train"
1052,"train"
1053,"train"
1054,"train"
1055,"train"
1056,"train"
1057,"train"
1058,"train"
1059,"train"
1060,"train"
1061,"train"
1062,"train"
1063,"test"
1064,"train"
1065,"train"
1066,"train"
1067,"train"
1068,"train"
1069,"train"
1070,"train"
1071,"train"
1072,"test"
1073,"train"
1074,"train"
1075,"train"
1076,"test"
1077,"train"
1078,"train"
1079,"train"
1080,"train"
1081,"test"
1082,"train"
1083,"test"
1084,"train"
1085,"train"
1086,"test"
1087,"train"
1088,"test"
1089,"test"
1090,"train"
1091,"train"
1092,"test"
1093,"test"
1094,"test"
1095,"train"
1096,"test"
1097,"train"
1098,"train"
1099,"train"
1100,"train"
1101,"train"
1102,"train"
1103,"train"
1104,"train"
1105,"train"
1106,"train"
1107,"train"
1108,"test"
1109,"train"
1110,"train"
1111,"train"
1112,"test"
1113,"test"
1114,"train"
1115,"train"
1116,"test"
1117,"train"
1118,"train"
1119,"train"
1120,"train"
1121,"train"
1122,"test"
1123,"train"
1124,"train"
1125,"train"
1126,"train"
1127,"test"
1128,"test"
1129,"test"
1130,"test"
1131,"train"
1132,"train"
1133,"train"
1134,"train"
1135,"test"
1136,"test"
1137,"train"
1138,"train"
1139,"train"
1140,"train"
1141,"train"
1142,"test"
1143,"train"
1144,"test"
1145,"test"
1146,"test"
1147,"train"
1148,"test"
1149,"train"
1150,"train"
1151,"train"
1152,"train"
1153,"test"
1154,"train"
1155,"train"
1156,"test"
1157,"train"
1158,"train"
1159,"train"
1160,"train"
1161,"train"
1162,"test"
1163,"train"
1164,"train"
1165,"train"
1166,"test"
1167,"test"
1168,"train"
1169,"train"
1170,"train"
1171,"train"
1172,"train"
1173,"train"
1174,"train"
1175,"train"
1176,"train"
1177,"train"
1178,"test"
1179,"test"
1180,"train"
1181,"train"
1182,"test"
1183,"test"
1184,"test"
1185,"test"
1186,"train"
1187,"test"
1188,"test"
1189,"train"
1190,"train"
1191,"train"
1192,"train"
1193,"train"
1194,"test"
1195,"train"
1196,"train"
1197,"train"
1198,"test"
1199,"train"
1200,"train"
1201,"test"
1202,"train"
1203,"test"
1204,"test"
1205,"test"
1206,"train"
1207,"train"
1208,"train"
1209,"train"
1210,"train"
1211,"train"
1212,"train"
1213,"train"
1214,"train"
1215,"train"
1216,"train"
1217,"train"
1218,"test"
1219,"test"
1220,"train"
1221,"train"
1222,"train"
1223,"train"
1224,"train"
1225,"train"
1226,"train"
1227,"train"
1228,"train"
1229,"train"
1230,"train"
1231,"train"
1232,"train"
1233,"train"
1234,"train"
1235,"train"
1236,"train"
1237,"train"
1238,"train"
1239,"train"
1240,"train"
1241,"test"
1242,"train"
1243,"train"
1244,"train"
1245,"train"
1246,"train"
1247,"train"
1248,"train"
1249,"train"
1250,"train"
1251,"test"
1252,"train"
1253,"test"
1254,"train"
1255,"train"
1256,"train"
1257,"train"
1258,"train"
1259,"test"
1260,"test"
1261,"train"
1262,"train"
1263,"test"
1264,"train"
1265,"train"
1266,"test"
1267,"train"
1268,"train"
1269,"train"
1270,"train"
1271,"train"
1272,"test"
1273,"train"
1274,"train"
1275,"test"
1276,"train"
1277,"train"
1278,"train"
1279,"test"
1280,"test"
1281,"train"
1282,"train"
1283,"train"
1284,"test"
1285,"train"
1286,"train"
1287,"test"
1288,"train"
1289,"test"
1290,"train"
1291,"train"
1292,"test"
1293,"train"
1294,"train"
1295,"test"
1296,"train"
1297,"train"
1298,"train"
1299,"test"
1300,"train"
1301,"train"
1302,"train"
1303,"train"
1304,"train"
1305,"train"
1306,"train"
1307,"train"
1308,"train"
1309,"test"
1310,"train"
1311,"test"
1312,"train"
1313,"test"
1314,"test"
1315,"test"
1316,"train"
1317,"train"
1318,"test"
1319,"test"
1320,"train"
1321,"train"
1322,"train"
1323,"train"
1324,"test"
1325,"train"
1326,"test"
1327,"train"
1328,"test"
1329,"train"
1330,"train"
1331,"train"
1332,"test"
1333,"train"
1334,"test"
1335,"test"
1336,"train"
1337,"train"
1338,"train"
1339,"test"
1340,"train"
1341,"train"
1342,"train"
1343,"train"
1344,"test"
1345,"train"
1346,"train"
1347,"test"
1348,"train"
1349,"train"
1350,"test"
1351,"test"
1352,"train"
1353,"train"
1354,"test"
1355,"train"
1356,"train"
1357,"train"
1358,"train"
1359,"train"
1360,"test"
1361,"test"
1362,"test"
1363,"train"
1364,"train"
1365,"train"
1366,"train"
1367,"train"
1368,"test"
1369,"train"
1370,"train"
1371,"train"
1372,"train"
1373,"train"
1374,"train"
1375,"train"
1376,"train"
1377,"train"
1378,"test"
1379,"train"
1380,"test"
1381,"train"
1382,"test"
1383,"train"
1384,"test"
1385,"train"
1386,"test"
1387,"test"
1388,"train"
1389,"train"
1390,"train"
1391,"train"
1392,"test"
1393,"test"
1394,"test"
1395,"test"
1396,"train"
1397,"test"
1398,"test"
1399,"train"
1400,"train"
1401,"train"
1402,"test"
1403,"test"
1404,"train"
1405,"train"
1406,"train"
1407,"train"
1408,"test"
1409,"train"
1410,"train"
1411,"train"
1412,"train"
1413,"test"
1414,"train"
1415,"train"
1416,"train"
1417,"test"
1418,"train"
1419,"test"
1420,"train"
1421,"train"
1422,"test"
1423,"train"
1424,"train"
1425,"test"
1426,"train"
1427,"train"
1428,"train"
1429,"train"
1430,"train"
1431,"test"
1432,"test"
1433,"train"
1434,"test"
1435,"train"
1436,"train"
1437,"test"
1438,"train"
1439,"train"
1440,"test"
1441,"test"
1442,"train"
1443,"train"
1444,"train"
1445,"train"
1446,"test"
1447,"test"
1448,"test"
1449,"train"
1450,"train"
1451,"train"
1452,"test"
1453,"train"
1454,"test"
1455,"train"
1456,"train"
1457,"test"
1458,"test"
1459,"train"
1460,"test"
1461,"train"
1462,"test"
1463,"train"
1464,"train"
1465,"train"
1466,"train"
1467,"train"
1468,"test"
1469,"test"
1470,"train"
1471,"test"
1472,"train"
1473,"train"
1474,"train"
1475,"test"
1476,"test"
1477,"train"
1478,"train"
1479,"test"
1480,"train"
1481,"train"
1482,"train"
1483,"train"
1484,"train"
1485,"test"
1486,"train"
1487,"train"
1488,"train"
1489,"train"
1490,"train"
1491,"train"
1492,"train"
1493,"test"
1494,"test"
1495,"train"
1496,"train"
1497,"train"
1498,"train"
1499,"test"
1500,"test"
1501,"train"
1502,"train"
1503,"train"
1504,"train"
1505,"train"
1506,"train"
1507,"test"
1508,"test"
1509,"train"
1510,"train"
1511,"train"
1512,"test"
1513,"train"
1514,"train"
1515,"test"
1516,"train"
1517,"train"
1518,"test"
1519,"train"
1520,"train"
1521,"train"
1522,"test"
1523,"train"
1524,"train"
1525,"train"
1526,"train"
1527,"train"
1528,"train"
1529,"train"
1530,"train"
1531,"train"
1532,"train"
1533,"test"
1534,"train"
1535,"train"
1536,"train"
1537,"train"
1538,"train"
1539,"train"
1540,"train"
1541,"test"
1542,"train"
1543,"train"
1544,"train"
1545,"test"
1546,"train"
1547,"test"
1548,"train"
1549,"train"
1550,"train"
1551,"train"
1552,"train"
1553,"train"
1554,"train"
1555,"test"
1556,"test"
1557,"test"
1558,"test"
1559,"test"
1560,"train"
1561,"test"
1562,"train"
1563,"train"
1564,"train"
1565,"train"
1566,"test"
1567,"train"
1568,"train"
1569,"train"
1570,"train"
1571,"train"
1572,"test"
1573,"train"
1574,"train"
1575,"train"
1576,"train"
1577,"train"
1578,"train"
1579,"test"
1580,"train"
1581,"train"
1582,"train"
1583,"test"
1584,"train"
1585,"test"
1586,"train"
1587,"test"
1588,"train"
1589,"train"
1590,"train"
1591,"test"
1592,"train"
1593,"train"
1594,"test"
1595,"train"
1596,"train"
1597,"train"
1598,"train"
1599,"test"
1600,"train"
1601,"test"
1602,"train"
1603,"train"
1604,"train"
1605,"train"
1606,"train"
1607,"train"
1608,"test"
1609,"test"
1610,"test"
1611,"train"
1612,"train"
1613,"test"
1614,"test"
1615,"test"
1616,"train"
1617,"train"
1618,"test"
1619,"train"
1620,"train"
1621,"test"
1622,"test"
1623,"train"
1624,"train"
1625,"test"
1626,"train"
1627,"train"
1628,"test"
1629,"train"
1630,"train"
1631,"test"
1632,"train"
1633,"train"
1634,"train"
1635,"test"
1636,"train"
1637,"train"
1638,"test"
1639,"train"
1640,"train"
1641,"train"
1642,"train"
1643,"test"
1644,"test"
1645,"train"
1646,"train"
1647,"train"
1648,"train"
1649,"test"
1650,"train"
1651,"test"
1652,"train"
1653,"train"
1654,"train"
1655,"train"
1656,"train"
1657,"test"
1658,"test"
1659,"train"
1660,"train"
1661,"train"
1662,"train"
1663,"train"
1664,"test"
1665,"test"
1666,"train"
1667,"train"
1668,"train"
1669,"train"
1670,"test"
1671,"train"
1672,"train"
1673,"train"
1674,"test"
1675,"test"
1676,"train"
1677,"train"
1678,"test"
1679,"test"
1680,"test"
1681,"train"
1682,"test"
1683,"train"
1684,"test"
1685,"train"
1686,"train"
1687,"test"
1688,"train"
1689,"train"
1690,"train"
1691,"train"
1692,"test"
1693,"test"
1694,"train"
1695,"train"
1696,"train"
1697,"train"
1698,"test"
1699,"train"
1700,"test"
1701,"train"
1702,"train"
1703,"train"
1704,"test"
1705,"train"
1706,"train"
1707,"train"
1708,"train"
1709,"train"
1710,"train"
1711,"test"
1712,"train"
1713,"train"
1714,"train"
1715,"test"
1716,"train"
1717,"train"
1718,"train"
1719,"train"
1720,"train"
1721,"train"
1722,"train"
1723,"train"
1724,"train"
1725,"train"
1726,"test"
1727,"train"
1728,"train"
1729,"train"
1730,"test"
1731,"train"
1732,"test"
1733,"train"
1734,"train"
1735,"train"
1736,"train"
1737,"train"
1738,"train"
1739,"train"
1740,"train"
1741,"train"
1742,"test"
1743,"train"
1744,"train"
1745,"train"
1746,"train"
1747,"train"
1748,"test"
1749,"test"
1750,"train"
1751,"test"
1752,"train"
1753,"train"
1754,"train"
1755,"train"
1756,"test"
1757,"train"
1758,"train"
1759,"train"
1760,"train"
1761,"test"
1762,"train"
1763,"train"
1764,"train"
1765,"train"
1766,"test"
1767,"train"
1768,"train"
1769,"train"
1770,"train"
1771,"test"
1772,"test"
1773,"test"
1774,"train"
1775,"train"
1776,"train"
1777,"train"
1778,"train"
1779,"train"
1780,"train"
1781,"test"
1782,"train"
1783,"train"
1784,"train"
1785,"train"
1786,"train"
1787,"train"
1788,"test"
1789,"train"
1790,"train"
1791,"train"
1792,"train"
1793,"train"
1794,"train"
1795,"train"
1796,"train"
1797,"train"
1798,"train"
1799,"train"
1800,"train"
1801,"train"
1802,"train"
1803,"train"
1804,"train"
1805,"test"
1806,"test"
1807,"test"
1808,"train"
1809,"test"
1810,"train"
1811,"test"
1812,"test"
1813,"test"
1814,"test"
1815,"train"
1816,"train"
1817,"train"
1818,"train"
1819,"train"
1820,"train"
1821,"train"
1822,"test"
1823,"train"
1824,"train"
1825,"train"
1826,"train"
1827,"test"
1828,"train"
1829,"train"
1830,"test"
1831,"test"
1832,"test"
1833,"train"
1834,"train"
1835,"test"
1836,"train"
1837,"train"
1838,"train"
1839,"train"
1840,"train"
1841,"test"
1842,"train"
1843,"test"
1844,"test"
1845,"train"
1846,"train"
1847,"test"
1848,"train"
1849,"train"
1850,"train"
1851,"train"
1852,"train"
1853,"train"
1854,"test"
1855,"test"
1856,"train"
1857,"test"
1858,"train"
1859,"train"
1860,"train"
1861,"train"
1862,"test"
1863,"train"
1864,"train"
1865,"train"
1866,"test"
1867,"train"
1868,"test"
1869,"test"
1870,"train"
1871,"train"
1872,"test"
1873,"train"
1874,"train"
1875,"test"
1876,"train"
1877,"train"
1878,"test"
1879,"train"
1880,"train"
1881,"train"
1882,"train"
1883,"train"
1884,"test"
1885,"train"
1886,"train"
1887,"train"
1888,"train"
1889,"train"
1890,"train"
1891,"train"
1892,"test"
1893,"train"
1894,"train"
1895,"train"
1896,"train"
1897,"test"
1898,"train"
1899,"train"
1900,"test"
1901,"train"
1902,"train"
1903,"test"
1904,"train"
1905,"test"
1906,"train"
1907,"train"
1908,"train"
1909,"test"
1910,"test"
1911,"train"
1912,"train"
1913,"train"
1914,"train"
1915,"train"
1916,"train"
1917,"train"
1918,"train"
1919,"train"
1920,"test"
1921,"test"
1922,"train"
1923,"test"
1924,"train"
1925,"train"
1926,"train"
1927,"train"
1928,"train"
1929,"train"
1930,"test"
1931,"train"
1932,"train"
1933,"train"
1934,"train"
1935,"test"
1936,"train"
1937,"test"
1938,"train"
1939,"test"
1940,"test"
1941,"train"
1942,"train"
1943,"test"
1944,"train"
1945,"test"
1946,"test"
1947,"train"
1948,"test"
1949,"train"
1950,"train"
1951,"test"
1952,"test"
1953,"train"
1954,"train"
1955,"train"
1956,"train"
1957,"train"
1958,"test"
1959,"train"
1960,"test"
1961,"train"
1962,"train"
1963,"train"
1964,"test"
1965,"train"
1966,"train"
1967,"train"
1968,"train"
1969,"train"
1970,"train"
1971,"train"
1972,"train"
1973,"train"
1974,"train"
1975,"test"
1976,"test"
1977,"train"
1978,"test"
1979,"train"
1980,"test"
1981,"test"
1982,"test"
1983,"train"
1984,"train"
1985,"train"
1986,"test"
1987,"test"
1988,"train"
1989,"train"
1990,"train"
1991,"test"
1992,"train"
1993,"train"
1994,"test"
1995,"train"
1996,"train"
1997,"train"
1998,"train"
1999,"train"
2000,"train"
2001,"test"
2002,"test"
2003,"train"
2004,"train"
2005,"test"
2006,"train"
2007,"train"
2008,"train"
2009,"test"
2010,"train"
2011,"test"
2012,"train"
2013,"train"
2014,"test"
2015,"train"
2016,"train"
2017,"train"
2018,"train"
2019,"test"
2020,"train"
2021,"test"
2022,"test"
2023,"train"
2024,"train"
2025,"test"
2026,"train"
2027,"train"
2028,"train"
2029,"train"
2030,"train"
2031,"train"
2032,"test"
2033,"train"
2034,"test"
2035,"train"
2036,"test"
2037,"test"
2038,"train"
2039,"test"
2040,"train"
2041,"train"
2042,"train"
2043,"train"
2044,"test"
2045,"test"
2046,"test"
2047,"train"
2048,"train"
2049,"train"
2050,"train"
2051,"test"
2052,"train"
2053,"test"
2054,"test"
2055,"train"
2056,"train"
2057,"train"
2058,"test"
2059,"test"
2060,"train"
2061,"train"
2062,"train"
2063,"test"
2064,"test"
2065,"train"
2066,"train"
2067,"test"
2068,"train"
2069,"test"
2070,"train"
2071,"test"
2072,"train"
2073,"train"
2074,"train"
2075,"train"
2076,"train"
2077,"train"
2078,"train"
2079,"train"
2080,"train"
2081,"test"
2082,"train"
2083,"train"
2084,"test"
2085,"train"
2086,"train"
2087,"test"
2088,"test"
2089,"train"
2090,"train"
2091,"train"
2092,"train"
2093,"train"
2094,"test"
2095,"train"
2096,"test"
2097,"test"
2098,"test"
2099,"train"
2100,"test"
2101,"train"
2102,"train"
2103,"train"
2104,"test"
2105,"test"
2106,"train"
2107,"train"
2108,"train"
2109,"train"
2110,"test"
2111,"train"
2112,"train"
2113,"test"
2114,"train"
2115,"train"
2116,"test"
2117,"test"
2118,"train"
2119,"train"
2120,"test"
2121,"train"
2122,"train"
2123,"train"
2124,"train"
2125,"train"
2126,"train"
2127,"train"
2128,"train"
2129,"train"
2130,"train"
2131,"test"
2132,"train"
2133,"test"
2134,"train"
2135,"test"
2136,"train"
2137,"train"
2138,"train"
2139,"train"
