bertopic_id,bertopic_name,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,fusion_rule,api_ok,api_error
11,11_toy_left_doll_game,0,not_safety,"[filtered] LLM(0, conf=0.98) without keyword support; treated as not_safety.",0,not_safety,0.98,0,not_safety,filtered,True,
12,12_bearing_shaft_motor_output,2,fail_safe_emergency,"[llm_low] The abstract primarily describes an integrated mechanical joint with motor, reducer and bearings, though it includes an electromagnetic safety brake for rapid braking, making the safety connection indirect.",2,fail_safe_emergency,0.85,1,force_control,low_max,True,
13,13_connecting_shell_piece_second,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
14,14_training_target_target body_plate,0,not_safety,"[filtered] LLM(0, conf=0.98) without keyword support; treated as not_safety.",0,not_safety,0.98,0,not_safety,filtered,True,
15,15_point_point cloud_cloud_map,2,stability_balance,"[llm_low] Mentions obstacle avoidance and stability/safety of the following process, but primarily describes a target-following navigation algorithm for a legged robot without explicit human-protection purpose.",2,stability_balance,0.8,1,stability_balance,low_max,True,
16,16_test_testing_plate_device,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,low_max,True,
17,17_data_task_semantic_humanoid robot,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1,not_safety,0.95,0,not_safety,filtered,True,
18,18_plate_bridge_ladder_rod,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,low_max,True,
19,19_joint_wrist_connecting_knee joint,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
20,20_layer_skin_textile_bionic,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1,not_safety,0.85,0,not_safety,filtered,True,
21,21_decision_semantic information_semantic_information,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
22,22_force_external force_human robot_robot,4,force_control,[llm_low] Detects external force on a robot and commands a retreat or stop when thresholds are exceeded to ensure safe human-robot interaction.,4,force_control,0.95,1,force_control,low_max,True,
23,23_image_vehicle_images_camera,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
24,24_massage_mi_bed_mi mi,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
25,25_industrial robot_industrial_tool_work,4,risk_assessment,"[llm_low] The workstation is divided into zones with different levels of risk hazard from the industrial robot to the worker, explicitly addressing safe human-robot cooperation.",4,risk_assessment,0.85,0,not_safety,low_max,True,
26,26_face_image_video_frame,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
27,27_path_navigation_obstacle_point,3,safe_control,"[agreement] LLM(4) + keyword(2): The abstract explicitly describes humanoid robot path planning with multi-dimensional safety assessment of fall risk, collision risk, and energy consumption risk to determine an optimal safe path in complex environments.",4,safe_control,0.9,2,collision_protection,agreement,True,
28,28_tobacco_robotic_operation_shelf,1,not_safety,"[llm_low] Impedance control is used for flexible tobacco assembly operations and manufacturing task quality, not explicitly for human protection or hazard prevention.",1,not_safety,0.9,1,force_control,low_max,True,
29,29_module_intelligent_service_display,2,not_safety,"[agreement] LLM(2) + keyword(3): The abstract describes a retail display/service humanoid robot that incidentally includes an emergency stop switch and anti-collision switch, but the explicit purpose is interactive shoe and clothing promotion, not human protection or hazard prevention.",2,not_safety,0.8,3,collision_protection,agreement,True,
30,30_inspection_detection_disease_tunnel,1,not_safety,"[llm_low] The abstract describes a legged robot industrial inspection system for equipment monitoring and optimizing detection actions, not a humanoid robot safety mechanism that protects humans.",1,not_safety,0.95,1,thermal_management,low_max,True,
31,31_lamp_light_display_led,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
32,32_action_data_sequence_motion,2,safe_control,"[agreement] LLM(2) + keyword(2): The abstract focuses on human motion imitation and mapping for a humanoid robot, with balance control and self-collision avoidance only peripheral processing steps rather than explicit human-protection safety mechanisms.",2,safe_control,0.8,2,collision_protection,agreement,True,
33,33_path_grid_map_point,3,collision_protection,"[agreement] LLM(4) + keyword(2): The abstract describes a quadruped robot obstacle-avoidance control method that builds semantic raster maps, plans global/local paths, and monitors foot-end tracking error and grid occupancy to avoid collisions.",4,collision_protection,0.85,2,collision_protection,agreement,True,
34,34_commands_position sensor_position velocity_velocity,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1,not_safety,0.85,0,not_safety,filtered,True,
35,35_image_chess_point cloud_cloud,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
36,36_welding_welding robot_straightening_mechanical,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
37,37_foot_sole_heel_arch,1,not_safety,"[llm_low] Mechanical foot structure with elastic buffers and ground-contact sensors for gait/terrain adaptation, not explicitly designed to protect humans from hazardous contact.",1,not_safety,0.9,1,force_control,low_max,True,
38,38_control_robot_core_nios,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
39,39_picking_mechanism_device_cake,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
40,40_wheel_leg_wheel leg_wheel legged,2,stability_balance,[llm_low] Balance control for a wheel-legged robot improves robustness but does not explicitly describe protecting humans or preventing hazardous contact.,2,stability_balance,0.75,1,stability_balance,low_max,True,
41,41_image_detection_human_human shape,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
42,42_service_user_information_module,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
43,43_monitoring_image_camera_area,1,thermal_management,[keyword_low] Matched: thermal,0,not_safety,0.95,1,thermal_management,low_max,True,
44,44_control_module_communication_humanoid robot,1,not_safety,"[llm_low] The abstract describes a generic wireless steering-engine control and communication architecture for a humanoid robot, with no explicit human-protection or hazard-prevention purpose.",1,not_safety,0.9,1,fail_safe_emergency,low_max,True,
45,45_legged robot_legged_desired trajectory_trajectory,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
46,46_module_signal_household_internet things,0,not_safety,"[filtered] LLM(0, conf=0.98) without keyword support; treated as not_safety.",0,not_safety,0.98,0,not_safety,filtered,True,
47,47_fault_health_state_data,3,fault_detection,"[keyword_fallback] Matched: fault diagnosis, diagnosis",1,not_safety,0.9,3,fault_detection,keyword_fallback,True,
48,48_rehabilitation_exoskeleton_training_module,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
49,49_circuit_power_battery_supply,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
50,50_image_detection_monitoring_human,0,not_safety,"[filtered] LLM(0, conf=0.90) without keyword support; treated as not_safety.",0,not_safety,0.9,0,not_safety,filtered,True,
51,51_pedestrian_video_target_image,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
52,52_dog_robot dog_box_shaped cover,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,low_max,True,
53,53_image_detection_human_target,1,stability_balance,"[keyword_low] Matched: fall detection, thermal",0,not_safety,0.95,1,stability_balance,low_max,True,
54,54_unmanned_aerial_unmanned aerial_unmanned boat,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
55,55_respective object_respective_self location_object,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
56,56_information pairs_pairs_ml_spatial,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
57,57_strategy_training_network_strategy network,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
58,58_stimuli_events_allows_end effector,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
59,59_breathing_mask_experiment_respirator,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
60,60_target_rescue_aid_extinguishing,0,not_safety,"[filtered] LLM(0, conf=0.90) without keyword support; treated as not_safety.",0,not_safety,0.9,0,not_safety,filtered,True,
61,61_food_food weight_weight_feeder,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
62,62_electrode_measurement electrode_108_elements,3,collision_protection,[agreement] LLM(4) + keyword(2): The abstracts explicitly describe capacitive-sensor-based collision monitoring that actuates the drive unit when a collision is detected to prevent hazardous contact.,4,collision_protection,0.9,2,collision_protection,agreement,True,
63,63_primitives_minimanipulations_actions_movements,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
64,64_charging_wireless_wireless electromagnetic_electromagnetic,1,not_safety,"[llm_low] Primarily a humanoid robot charging/battery connection method; safety mention refers to operational charging reliability, not a mechanism protecting humans from robot hazards.",1,not_safety,0.85,1,thermal_management,low_max,True,
65,65_social_reasoning_instruction_remote,4,safe_control,"[llm_low] Abstract describes a remote-control method that identifies prohibited execution actions, constructs paradox-verification scenarios, and generates a safe unlocking sequence for intelligent and safe remote control of humanoid robots.",4,safe_control,0.9,0,not_safety,low_max,True,
66,66_magnetic_powder_material_adhesive,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
67,67_dance_music_playing_piano,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
68,68_animation_bone_skeleton_digital,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
69,69_embodiments_agricultural_various embodiments_interfaces,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
70,70_elevator_main elevator_floor_secondary elevator,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
71,71_moving_double mechanical_mechanical_double,1,force_control,[keyword_low] Matched: force sensor,0,not_safety,0.95,1,force_control,low_max,True,
72,72_cleaning_mechanism_chassis_cleaning mechanism,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
73,73_power_supply_power supply_battery,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,low_max,True,
74,74_target_foot_state data_landing,2,stability_balance,"[llm_low] Centroid and foot contact-force control for stable locomotion has an indirect fall-prevention benefit, but the abstracts frame it as generic motion/environmental adaptation without explicit human-protection or safety purpose.",2,stability_balance,0.75,1,force_control,low_max,True,
75,75_chair_group_handle_movable,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
76,76_elements_elements articulation_articulation_given,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1,not_safety,0.85,0,not_safety,filtered,True,
